Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use
904,Argemone ochroleuca,Argemone ochroleuca,"[['None', 'Antineoplastic agents']]"
905,Argemone subfusiformis,Argemone subfusiformis,"[['fruit', 'Parasympatholytics'], ['leaf', 'Antipyretics'], ['whole plant', 'Cholagogues and choleretics'], ['leaf', 'Eye infections'], ['None', 'Cathartics'], ['flower', 'Pleurisy'], ['None', 'Diaphoretic'], ['None', 'Emetics'], ['None', 'Wound healing'], ['None', 'Antitussive agents'], ['None', 'Digestive system diseases'], ['None', 'Narcotics']]"
920,Argyreia cuneata,Argyreia cuneata,"[['leaf', 'Central nervous system depressants'], ['leaf', 'Diabetes mellitus']]"
927,Argyreia imbricata,Argyreia imbricata,"[['seed', 'Hallucinogens']]"
936,Argyreia nervosa,Argyreia nervosa,"[['root', 'Diabetes mellitus'], ['leaf', 'Emollients'], ['root', 'Cough'], ['fruit', 'Antiviral agents'], ['leaf', 'Anti-bacterial agents'], ['leaf', 'Antifungal agents'], ['leaf', 'Anti-inflammatory agents'], ['leaf', 'Antinematodal agents'], ['leaf', 'Eczema'], ['leaf', 'Counterirritant'], ['leaf', 'Urinary bladder calculi'], ['leaf', 'Pruritus'], ['leaf', 'Skin diseases'], ['root', 'Diuretics'], ['leaf', 'Wound healing'], ['leaf', 'Wounds and injuries'], ['root', 'Anti-inflammatory agents'], ['root', 'Antirheumatic agents'], ['root', 'Aphrodisiacs'], ['root', 'Ascites'], ['root', 'Bronchitis'], ['leaf', 'Nervous system diseases'], ['root', 'Dysentery'], ['whole plant', 'Urination disorders'], ['None', 'Anti-infective agents'], ['root', 'Common cold'], ['root', 'Colic'], ['seed', 'Antifungal agents'], ['root', 'Dyspepsia'], ['root', 'Fever'], ['root', 'Gonorrhea'], ['root', 'Hemiplegia'], ['root', 'Nervous system diseases'], ['root', 'Pharyngitis'], ['root', 'General tonic for rejuvenation'], ['None', 'Anti-inflammatory agents'], ['root', 'Synovitis'], ['root', 'Tuberculosis, pulmonary'], ['seed', 'Cardiovascular system'], ['None', 'Antirheumatic agents'], ['seed', 'Hypotension'], ['seed', 'Parasympatholytics'], ['seed', 'General tonic for rejuvenation'], ['whole plant', 'Gonorrhea'], ['whole plant', 'Ulcer'], ['None', 'Anemia'], ['None', 'Anorexia'], ['root', 'Syphilis'], ['None', 'Anti-obesity agents'], ['leaf', 'Fertility agents'], ['None', 'Aphrodisiacs'], ['None', 'Flatulence'], ['None', 'Arthritis'], ['None', 'Ascites'], ['None', 'Asthenia'], ['None', 'Brain diseases'], ['None', 'Bronchitis'], ['None', 'Cardiotonic agents'], ['None', 'Cerebrovascular circulation'], ['None', 'Colic'], ['None', 'Diabetes mellitus'], ['None', 'Cough'], ['None', 'Diuretics'], ['None', 'Dysentery'], ['None', 'Dyspepsia'], ['None', 'Eczema'], ['None', 'Edema'], ['None', 'Disorder of ejaculation'], ['None', 'Emaciation'], ['None', 'Emollients'], ['None', 'Erectile dysfunction'], ['None', 'Expectorants'], ['None', 'Gonorrhea'], ['None', 'Furunculosis'], ['None', 'Diarrhea'], ['None', 'Urination disorders'], ['None', 'Nootropic agents'], ['None', 'Heart diseases'], ['None', 'Appetite stimulants'], ['None', 'Hemiplegia'], ['None', 'Hemorrhage'], ['None', 'Hoarseness'], ['None', 'Inflammation'], ['None', 'Counterirritant'], ['None', 'Wounds and injuries'], ['None', 'Leukorrhea'], ['None', 'Nervous system diseases'], ['None', 'Laxatives'], ['None', 'Antifungal agents'], ['None', 'Ulcer'], ['None', 'Pruritus'], ['None', 'Syphilis'], ['None', 'Synovitis'], ['None', 'Tuberculosis'], ['None', 'Smallpox'], ['None', 'Skin diseases'], ['None', 'General tonic for rejuvenation'], ['None', 'Foot ulcer'], ['None', 'Stomach diseases']]"
974,Arisaema tortuosum,Arisaema tortuosum,"[['tuber', 'Insect repellents'], ['None', 'Anti-poisoning'], ['None', 'Contraceptive agents'], ['tuber', 'Irritant'], ['tuber', 'Snake bites'], ['tuber', 'Cough'], ['tuber', 'Common cold'], ['stem', 'Snake bites'], ['tuber', 'Scorpion stings'], ['stem', 'Insect repellents'], ['stem', 'Common cold'], ['stem', 'Antirheumatic agents'], ['stem', 'Anthelmintics'], ['stem', 'Abdominal pain'], ['seed', 'Colic'], ['root', 'Anthelmintics'], ['stem', 'Insecticides']]"
995,Aristolochia bracteolata,Aristolochia bracteolata,"[['None', 'Abortifacient agents'], ['leaf', 'Skin ulcer'], ['leaf', 'Snake bites'], ['whole plant', 'Anthelmintics'], ['leaf', 'Urticaria'], ['leaf', 'Wounds and injuries'], ['root', 'Antiparasitic agents'], ['root', 'Anthelmintics'], ['leaf', 'Skin diseases'], ['root', 'Bites and stings'], ['root', 'Dental caries'], ['root', 'Hepatomegaly'], ['root', 'Ulcer'], ['leaf', 'Antiperiodic'], ['leaf', 'Menstruation disturbances'], ['leaf', 'Fever'], ['whole plant', 'Increase leukocytes'], ['seed', 'Cathartics'], ['seed', 'Parasympatholytics'], ['seed', 'Eczema'], ['leaf', 'General tonic for rejuvenation'], ['None', 'Antiperiodic'], ['leaf', 'Anthelmintics'], ['leaf', 'Inflammation'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Bites and stings'], ['leaf', 'Dysentery'], ['leaf', 'Dysmenorrhea'], ['leaf', 'Eczema'], ['leaf', 'Edema'], ['leaf', 'Hemorrhoids'], ['leaf', 'Appetite stimulants'], ['whole plant', 'Wound healing'], ['root', 'Snake bites'], ['None', 'Amenorrhea'], ['leaf', 'Ulcer'], ['None', 'Dyspepsia'], ['None', 'Dysmenorrhea'], ['None', 'Dental caries'], ['None', 'Colic'], ['None', 'Cathartics'], ['None', 'Arthralgia'], ['None', 'Eczema'], ['None', 'Appetite stimulants'], ['None', 'Anti-inflammatory agents'], ['None', 'Anti-infective agents, local'], ['None', 'Bites and stings'], ['None', 'Fever'], ['None', 'Flatulence'], ['None', 'Wound healing'], ['None', 'Furunculosis'], ['None', 'Syphilis'], ['None', 'Anthelmintics'], ['whole plant', 'Snake bites'], ['None', 'Gonorrhea'], ['None', 'Hypohidrosis'], ['None', 'Inflammation'], ['None', 'Insecticides'], ['None', 'Ulcer'], ['None', 'Intestinal diseases, parasitic'], ['None', 'Menstruation-inducing agents'], ['None', 'Oxytocics'], ['None', 'General tonic for rejuvenation'], ['None', 'Scorpion stings'], ['None', 'Skin diseases'], ['None', 'Snake bites'], ['None', 'Labor pain']]"
996,Aristolochia brasiliensis,Aristolochia labiata,"[['None', 'Anti-inflammatory agents'], ['None', 'Tuberculosis']]"
999,Aristolochia elegans,Aristolochia littoralis,"[['root', 'Intestinal diseases'], ['root', 'Fever'], ['leaf', 'Snake bites'], ['leaf', 'Scorpion stings']]"
1002,Aristolochia grandiflora,Aristolochia grandiflora,"[['None', 'Uterine contraction'], ['None', 'Snake bites'], ['None', 'Menstruation-inducing agents'], ['None', 'Fever'], ['None', 'Diuretics'], ['None', 'Hypohidrosis']]"
1004,Aristolochia indica,Aristolochia indica,"[['leaf', 'Emetics'], ['leaf', 'Diarrhea'], ['leaf', 'Cough'], ['leaf', 'Cholera'], ['leaf', 'Asthma'], ['bark', 'Inflammatory bowel diseases'], ['leaf', 'Acne vulgaris'], ['leaf', 'Abortifacient agents'], ['leaf', 'Fever'], ['bark', 'Fever'], ['bark', 'Diarrhea'], ['leaf', 'Appetite stimulants'], ['leaf', 'Headache'], ['leaf', 'Parasympatholytics'], ['leaf', 'Inflammatory bowel diseases'], ['leaf', 'Menstruation-inducing agents'], ['rhizome', 'Inflammatory bowel diseases'], ['leaf', 'General tonic for rejuvenation'], ['leaf', 'Snake bites'], ['rhizome', 'Gastrointestinal diseases'], ['leaf', 'Ulcer'], ['leaf', 'Wound healing'], ['leaf', 'Wounds and injuries'], ['leaf', 'Antiperiodic'], ['rhizome', 'Dyspepsia'], ['rhizome', 'Emetics'], ['rhizome', 'Fever'], ['leaf', 'Inflammation'], ['rhizome', 'Menstruation-inducing agents'], ['root', 'Antifungal agents'], ['root', 'Abortifacient agents'], ['root', 'Gastrointestinal diseases'], ['root', 'Bites and stings'], ['root', 'Arthralgia'], ['root', 'Antipyretics'], ['root', 'Appetite stimulants'], ['root', 'Antirheumatic agents'], ['root', 'Analgesics'], ['root', 'Anti-inflammatory agents'], ['root', 'Anti-bacterial agents'], ['root', 'Anthelmintics'], ['root', 'Cathartics'], ['root', 'Amenorrhea'], ['root', 'Cardiotonic agents'], ['rhizome', 'Appetite stimulants'], ['root', 'Diuretics'], ['root', 'Common cold'], ['root', 'Contraceptive agents'], ['root', 'Cough'], ['root', 'Abdominal pain'], ['root', 'Dysentery'], ['root', 'Dysmenorrhea'], ['root', 'Dyspepsia'], ['root', 'Dystocia'], ['root', 'Emetics'], ['root', 'Erysipelas'], ['root', 'Fertility agents, female'], ['root', 'Fever'], ['root', 'Flatulence'], ['root', 'Colic'], ['root', 'Heart diseases'], ['None', 'Nephritis'], ['whole plant', 'Aphrodisiacs'], ['root', 'Intestinal diseases, parasitic'], ['root', 'Leprosy'], ['root', 'Menorrhagia'], ['root', 'Menstruation-inducing agents'], ['root', 'Prenatal care'], ['root', 'Pruritus'], ['seed', 'Vomiting'], ['root', 'Scorpion stings'], ['root', 'Snake bites'], ['root', 'Spider bites'], ['root', 'Ulcer'], ['root', 'General tonic for rejuvenation'], ['root', 'Vitiligo'], ['seed', 'Arthritis'], ['root', 'Antiperiodic'], ['seed', 'Insect repellents'], ['seed', 'Inflammation'], ['seed', 'Dyspnea'], ['seed', 'Cough'], ['None', 'Anti-inflammatory agents'], ['seed', 'Arthralgia'], ['seed', 'Antitubercular agents'], ['seed', 'Antineoplastic agents'], ['seed', 'Anti-inflammatory agents'], ['root', 'Depurative'], ['seed', 'Antitussive agents'], ['root', 'Hypohidrosis'], ['root', 'Inflammatory bowel diseases'], ['root', 'Urination disorders'], ['root', 'Skin diseases'], ['whole plant', 'Leprosy'], ['whole plant', 'Diarrhea'], ['whole plant', 'Fever'], ['whole plant', 'Inflammatory bowel diseases'], ['whole plant', 'Anthelmintics'], ['whole plant', 'Skin diseases'], ['whole plant', 'Snake bites'], ['None', 'Abortifacient agents'], ['None', 'Anthelmintics'], ['None', 'Antifungal agents'], ['None', 'Antirheumatic agents'], ['None', 'Aphrodisiacs'], ['None', 'Appetite stimulants'], ['None', 'Diuretics'], ['None', 'Gastrointestinal diseases'], ['root', 'Inflammation'], ['None', 'Hemorrhage'], ['None', 'Wounds and injuries'], ['None', 'Snake bites'], ['None', 'Skin diseases'], ['None', 'Pain'], ['None', 'Oxytocics'], ['None', 'Parasympatholytics'], ['None', 'Menstruation-inducing agents'], ['whole plant', 'Appetite stimulants'], ['None', 'Menorrhagia'], ['None', 'Insecticides'], ['None', 'Insect bites and stings'], ['None', 'Hematologic diseases']]"
1006,Aristolochia littoralis,Aristolochia littoralis,"[['root', 'Intestinal diseases'], ['leaf', 'Snake bites'], ['root', 'Fever'], ['leaf', 'Scorpion stings']]"
1009,Aristolochia ringens,Aristolochia ringens,"[['None', 'Snake bites'], ['None', 'Ulcer'], ['None', 'Fever'], ['None', 'Colic']]"
1010,Aristolochia tagala,Aristolochia tagala,"[['leaf', 'Headache'], ['None', 'Inflammatory bowel diseases'], ['root', 'Menstruation-inducing agents'], ['root', 'General tonic for rejuvenation'], ['root', 'Anti-poisoning'], ['root', 'Flatulence'], ['leaf', 'Abdominal pain'], ['root', 'Antiemetics'], ['root', 'Contraceptive agents']]"
1012,Arnebia euchroma,Arnebia euchroma,"[['root', 'Anti-inflammatory agents'], ['root', 'Anti-bacterial agents'], ['root', 'Exanthema'], ['root', 'Hair loss'], ['flower', 'Pain'], ['root', 'Antiviral agents'], ['None', 'Granuloma'], ['None', 'Burns'], ['None', 'Anti-infective agents'], ['None', 'Anti-inflammatory agents'], ['None', 'Antipyretics'], ['None', 'Earache'], ['None', 'Toothache'], ['None', 'Abortifacient agents']]"
1013,Arnebia guttata,Arnebia guttata,"[['root', 'Cough'], ['None', 'Cardiovascular agents'], ['None', 'Effects on central nervous system']]"
1014,Arnebia hispidissima,Arnebia hispidissima,"[['flower', 'Anti-inflammatory agents'], ['flower', 'Anti-infective agents, local'], ['flower', 'Parasympatholytics'], ['None', 'Anti-inflammatory agents'], ['flower', 'Hypotension']]"
1019,Artabotrys hexapetalus,Artabotrys hexapetalus,"[['leaf', 'Anthelmintics'], ['fruit', 'Cardiotonic agents'], ['fruit', 'Spasm'], ['fruit', 'Hypotension'], ['leaf', 'Antifungal agents'], ['fruit', 'Anti-arrhythmia agents'], ['aerial part', 'Spasm'], ['whole plant excluding root', 'Parasympatholytics'], ['flower', 'Antifungal agents'], ['leaf', 'Estrogen receptor modulators'], ['leaf', 'Sexual debility'], ['leaf', 'Cholera'], ['root', 'Malaria'], ['root', 'Spasm'], ['whole plant excluding root', 'Cardiovascular system'], ['leaf', 'Contraceptive agents'], ['whole plant excluding root', 'Central nervous system diseases']]"
1025,Artemisia absinthium,Artemisia absinthium,"[['flower', 'Anti-infective agents, local'], ['flower', 'Anthelmintics'], ['aerial part', 'Visceral disorders'], ['aerial part', 'Edema'], ['aerial part', 'Fever'], ['flower', 'Antipyretics'], ['leaf', 'Antinematodal agents'], ['aerial part', 'Malaria'], ['flower', 'Appetite stimulants'], ['leaf', 'Anti-bacterial agents'], ['flower', 'Fever'], ['flower', 'Intestinal diseases, parasitic'], ['flower', 'General tonic for rejuvenation'], ['flower', 'Skin diseases'], ['flower', 'Stomach diseases'], ['flower', 'Wounds and injuries'], ['flower', 'Deobstruent'], ['leaf', 'Anthelmintics'], ['leaf', 'Antipyretics'], ['flower', 'Diuretics'], ['leaf', 'Antifungal agents'], ['leaf', 'Malaria'], ['stem', 'Fever'], ['stem', 'General tonic for rejuvenation'], ['leaf', 'Wound healing'], ['root', 'Anthelmintics'], ['leaf', 'Diaphoretic'], ['leaf', 'Fever'], ['leaf', 'Visceral disorders'], ['leaf', 'General tonic for rejuvenation'], ['root', 'Appetite stimulants'], ['root', 'Antipyretics'], ['stem', 'Anthelmintics'], ['root', 'Diuretics'], ['root', 'Fever'], ['root', 'Deobstruent'], ['leaf', 'Digestive system diseases'], ['stem', 'Anti-infective agents, local'], ['stem', 'Antipyretics'], ['stem', 'Appetite stimulants'], ['stem', 'Diuretics'], ['stem', 'Edema'], ['leaf', 'Edema'], ['stem', 'Intestinal diseases, parasitic'], ['None', 'Urination disorders'], ['stem', 'Skin diseases'], ['whole plant', 'Ascites'], ['stem', 'Wounds and injuries'], ['stem', 'Deobstruent'], ['whole plant', 'Abdominal pain'], ['whole plant', 'Anthelmintics'], ['whole plant', 'Antiparasitic agents'], ['whole plant', 'Antipyretics'], ['whole plant', 'Antirheumatic agents'], ['whole plant', 'Insecticides'], ['whole plant', 'Arthritis'], ['whole plant', 'Appetite stimulants'], ['whole plant', 'Contraceptive agents'], ['whole plant', 'Dysmenorrhea'], ['whole plant', 'Dysuria'], ['whole plant', 'Earache'], ['whole plant', 'Epilepsy'], ['whole plant', 'Fever'], ['whole plant', 'Digestive system diseases'], ['whole plant', 'Inflammation'], ['whole plant', 'Liver diseases'], ['None', 'Anorexia'], ['whole plant', 'Gastrointestinal agents'], ['stem', 'Visceral disorders'], ['whole plant', 'Paralysis'], ['whole plant', 'Splenic diseases'], ['None', 'Anthelmintics'], ['None', 'Antineoplastic agents'], ['None', 'Antipyretics'], ['None', 'Appetite stimulants'], ['whole plant', 'Periodontitis'], ['None', 'Biliary tract diseases'], ['None', 'Brain concussion'], ['None', 'Asthenia'], ['None', 'Dyspepsia'], ['whole plant', 'Diuretics'], ['None', 'Diuretics'], ['None', 'General tonic for rejuvenation'], ['None', 'Liver diseases'], ['None', 'Splenomegaly'], ['None', 'Fever'], ['None', 'Epilepsy'], ['None', 'Edema'], ['None', 'Gastrointestinal diseases']]"
1026,Artemisia annua,Artemisia annua,"[['aerial part', 'Antipruritics'], ['aerial part', 'Antipyretics'], ['aerial part', 'Colonic neoplasms'], ['aerial part', 'Fever'], ['aerial part', 'Malaria'], ['aerial part', 'Leukemia, lymphoid'], ['whole plant', 'Appetite stimulants'], ['aerial part', 'Lung neoplasms'], ['aerial part', 'Ulcer'], ['whole plant', 'Diuretics'], ['whole plant', 'Jaundice'], ['whole plant', 'Skin diseases'], ['None', 'Antipyretics'], ['aerial part', 'Scabies'], ['None', 'Malaria'], ['aerial part', 'Nasopharyngeal neoplasms']]"
1028,Artemisia biennis,Artemisia biennis,"[['seed', 'Obesity'], ['None', 'Diuretics']]"
1029,Artemisia capillaris,Artemisia capillaris,"[['flower', 'Anthelmintics'], ['flower', 'Anti-bacterial agents'], ['flower', 'Antifungal agents'], ['leaf', 'Burns'], ['leaf', 'Sunstroke'], ['whole plant excluding root', 'Malaria'], ['None', 'Cardiovascular system'], ['None', 'Ear diseases'], ['None', 'Hypertension'], ['None', 'Hypotension'], ['None', 'Parasympatholytics'], ['None', 'Cathartics']]"
1030,Artemisia caruifolia,Artemisia carvifolia,"[['aerial part', 'Insecticides'], ['leaf', 'Antipyretics'], ['None', 'Diarrhea'], ['None', 'Fever'], ['None', 'Gastrointestinal diseases'], ['None', 'Scabies'], ['None', 'Tuberculosis, pulmonary']]"
1032,Artemisia dracunculus,Artemisia dracunculus,"[['leaf', 'Anti-bacterial agents'], ['leaf', 'Appetite stimulants'], ['leaf', 'Antifungal agents'], ['leaf', 'General tonic for rejuvenation'], ['None', 'Antifungal agents'], ['None', 'Parasympatholytics'], ['leaf', 'Laxatives']]"
1036,Artemisia elegantissima,Artemisia indica,"[['root', 'General tonic for rejuvenation'], ['leaf', 'Conjunctivitis'], ['leaf', 'Hemostasis'], ['root', 'Anti-infective agents, local'], ['whole plant', 'Anthelmintics'], ['whole plant', 'Anti-infective agents, local'], ['whole plant', 'Antipyretics'], ['whole plant', 'Menstruation-inducing agents'], ['whole plant', 'Lithiasis'], ['None', 'Anti-bacterial agents'], ['None', 'Asthma'], ['None', 'Nervous system diseases'], ['None', 'Parturition'], ['None', 'Skin diseases'], ['None', 'Ulcer'], ['None', 'Measles'], ['whole plant', 'Appetite stimulants']]"
1040,Artemisia gmelinii,Artemisia gmelinii,"[['None', 'Insecticides'], ['None', 'Disorder of head'], ['leaf', 'Abdominal pain'], ['leaf', 'Anthelmintics']]"
1044,Artemisia indica,Artemisia indica,"[['leaf', 'Conjunctivitis'], ['whole plant', 'Appetite stimulants'], ['leaf', 'Hemostasis'], ['root', 'Anti-infective agents, local'], ['root', 'General tonic for rejuvenation'], ['whole plant', 'Anthelmintics'], ['whole plant', 'Anti-infective agents, local'], ['whole plant', 'Lithiasis'], ['whole plant', 'Antipyretics'], ['None', 'Ulcer'], ['None', 'Skin diseases'], ['None', 'Parturition'], ['whole plant', 'Menstruation-inducing agents'], ['None', 'Measles'], ['None', 'Anti-bacterial agents'], ['None', 'Asthma'], ['None', 'Nervous system diseases']]"
1045,Artemisia japonica,Artemisia japonica,"[['leaf', 'Anthelmintics'], ['aerial part', 'Skin diseases'], ['aerial part', 'Anthelmintics'], ['aerial part', 'Anti-bacterial agents'], ['aerial part', 'Antifungal agents'], ['aerial part', 'Malaria'], ['aerial part', 'Wound healing'], ['None', 'Antiviral agents'], ['leaf', 'Wounds and injuries'], ['underground part', 'Insecticides'], ['whole plant', 'Antiviral agents'], ['whole plant', 'Diuretics'], ['whole plant excluding root', 'Parasympatholytics'], ['None', 'Anticonvulsants'], ['whole plant', 'Anti-bacterial agents']]"
1046,Artemisia macrocephala,Artemisia macrocephala,"[['whole plant', 'Antirheumatic agents']]"
1047,Artemisia maritima,Artemisia maritima,"[['flower', 'Dermatitis'], ['flower', 'Ascites'], ['flower', 'Anthelmintics'], ['flower', 'Abdominal pain'], ['aerial part', 'Pain'], ['aerial part', 'Anthelmintics'], ['aerial part', 'Anti-bacterial agents'], ['leaf', 'Dermatitis'], ['whole plant', 'Appetite stimulants'], ['flower', 'Dyspepsia'], ['aerial part', 'Malaria'], ['flower', 'Edema'], ['shoot', 'Cestoda'], ['flower', 'Hiccup'], ['flower', 'Fever'], ['seed', 'Ascariasis'], ['leaf', 'Intestinal diseases, parasitic'], ['leaf', 'Fever'], ['leaf', 'Dyspepsia'], ['shoot', 'Anthelmintics'], ['leaf', 'Appetite stimulants'], ['leaf', 'Antipyretics'], ['flower', 'Intestinal diseases, parasitic'], ['flower', 'Inflammation'], ['flower', 'Appetite stimulants'], ['leaf', 'Abdominal pain'], ['None', 'Respiratory system agents'], ['None', 'Contraceptive agents'], ['whole plant', 'Fever'], ['None', 'Ascaris'], ['None', 'Deobstruent'], ['None', 'Appetite stimulants'], ['None', 'Antipyretics'], ['None', 'Antiparasitic agents'], ['whole plant', 'General tonic for rejuvenation'], ['None', 'Anorexia'], ['whole plant', 'Deobstruent'], ['None', 'Cardiotonic agents'], ['None', 'Anthelmintics'], ['None', 'Cestoda'], ['None', 'Abdominal pain'], ['None', 'Eclampsia'], ['whole plant', 'Laxatives'], ['None', 'Whooping cough'], ['None', 'Spasm'], ['None', 'General tonic for rejuvenation'], ['None', 'Peripheral nervous system diseases'], ['None', 'Nocturnal enuresis'], ['None', 'Laxatives'], ['None', 'Intestinal diseases, parasitic'], ['None', 'Insecticides'], ['None', 'Fever'], ['None', 'Pain']]"
1048,Artemisia myriantha,Artemisia myriantha,"[['leaf', 'Exanthema'], ['leaf', 'Headache'], ['leaf', 'Abdominal pain'], ['leaf', 'Allergens'], ['leaf', 'Anthelmintics'], ['leaf', 'Asthma'], ['leaf', 'Constipation'], ['leaf', 'Cough'], ['leaf', 'Epistaxis'], ['leaf', 'Fever'], ['leaf', 'Skin diseases'], ['leaf', 'Scabies'], ['leaf', 'Pain'], ['None', 'Exanthema'], ['whole plant', 'Scabies'], ['whole plant', 'Asthma'], ['leaf', 'Pruritus'], ['seed', 'Malaria'], ['root', 'Kidney diseases'], ['leaf', 'Wounds and injuries'], ['stem', 'Pain']]"
1050,Artemisia nilagirica,Artemisia nilagirica,"[['flower', 'Fever'], ['aerial part', 'Brain diseases'], ['aerial part', 'Contraceptive agents'], ['aerial part', 'Nervous system diseases'], ['aerial part', 'Spasm'], ['flower', 'Asthma'], ['stem', 'Insect repellents'], ['aerial part', 'Asthma'], ['leaf', 'Brain diseases'], ['flower', 'Nervous system diseases'], ['leaf', 'Anthelmintics'], ['fruit', 'Apnea'], ['fruit', 'Cardiotonic agents'], ['leaf', 'Abdominal pain'], ['leaf', 'Anticonvulsants'], ['leaf', 'Antifungal agents'], ['leaf', 'Anti-infective agents'], ['leaf', 'Anti-infective agents, local'], ['leaf', 'Anti-inflammatory agents'], ['leaf', 'Asthma'], ['leaf', 'Chest pain'], ['flower', 'Spasm'], ['leaf', 'Earache'], ['leaf', 'Headache'], ['leaf', 'Fever'], ['root', 'Abdominal pain'], ['stem', 'Anti-inflammatory agents'], ['leaf', 'Hemostatics'], ['leaf', 'Insect repellents'], ['leaf', 'Insecticides'], ['leaf', 'Malaria'], ['leaf', 'Nervous system diseases'], ['leaf', 'Skin diseases'], ['leaf', 'Spasm'], ['leaf', 'Ulcer'], ['flower', 'Digestive system diseases'], ['leaf', 'Wounds and injuries'], ['leaf', 'Endophthalmitis'], ['root', 'Anti-infective agents, local'], ['root', 'Malaria'], ['root', 'Menstruation-inducing agents'], ['root', 'Parasympatholytics'], ['root', 'General tonic for rejuvenation'], ['shoot', 'Headache'], ['stem', 'Anticonvulsants'], ['stem', 'Antifungal agents'], ['stem', 'Anti-infective agents'], ['root', 'Anthelmintics'], ['None', 'Depurative'], ['None', 'Measles'], ['None', 'Insecticides'], ['whole plant', 'Antifungal agents'], ['whole plant', 'Antidotes'], ['whole plant', 'Conjunctivitis'], ['whole plant', 'Hemostasis'], ['stem', 'Insecticides'], ['None', 'Abdominal pain'], ['None', 'Amenorrhea'], ['None', 'Analgesics'], ['None', 'Anemia'], ['None', 'Allelopathy'], ['None', 'Anthelmintics'], ['None', 'Antipruritics'], ['None', 'Anti-bacterial agents'], ['None', 'Appetite stimulants'], ['None', 'Aphrodisiacs'], ['None', 'Antipyretics'], ['None', 'Asthma'], ['None', 'Anti-inflammatory agents'], ['None', 'Antifungal agents'], ['None', 'Antidotes'], ['None', 'Bronchitis'], ['None', 'Anorexia'], ['None', 'Colic'], ['whole plant', 'Lithiasis'], ['None', 'Digestive system diseases'], ['None', 'Diuretics'], ['None', 'Dysmenorrhea'], ['None', 'Dyspepsia'], ['None', 'Urination disorders'], ['None', 'Flatulence'], ['None', 'Headache'], ['None', 'Hematinics'], ['None', 'Hysteria'], ['None', 'Infection'], ['None', 'Inflammation'], ['None', 'Fever'], ['None', 'Cough'], ['None', 'Leprosy'], ['None', 'Lithiasis'], ['None', 'Menstruation-inducing agents'], ['None', 'Nervous system diseases'], ['None', 'Parasympatholytics'], ['None', 'Parturition'], ['None', 'Skin diseases'], ['None', 'Deobstruent'], ['whole plant', 'Anti-bacterial agents'], ['None', 'Intestinal diseases, parasitic']]"
1051,Artemisia pallens,Artemisia pallens,"[['aerial part', 'Antifungal agents'], ['aerial part', 'Angiotensin-converting enzyme inhibitors'], ['aerial part', 'Anti-bacterial agents'], ['whole plant', 'Anti-infective agents'], ['aerial part', 'Hypertension'], ['None', 'Antinematodal agents'], ['aerial part', 'Hypoglycemic agents']]"
1052,Artemisia parviflora,Artemisia japonica,"[['aerial part', 'Wound healing'], ['aerial part', 'Anthelmintics'], ['aerial part', 'Anti-bacterial agents'], ['aerial part', 'Antifungal agents'], ['aerial part', 'Malaria'], ['aerial part', 'Skin diseases'], ['whole plant', 'Diuretics'], ['leaf', 'Anthelmintics'], ['underground part', 'Insecticides'], ['whole plant', 'Anti-bacterial agents'], ['whole plant', 'Antiviral agents'], ['whole plant excluding root', 'Parasympatholytics'], ['None', 'Anticonvulsants'], ['None', 'Antiviral agents'], ['leaf', 'Wounds and injuries']]"
1053,Artemisia persica,Artemisia persica,"[['None', 'General tonic for rejuvenation'], ['None', 'Anthelmintics']]"
1055,Artemisia roxburghiana,Artemisia roxburghiana,"[['None', 'Parasympatholytics'], ['root', 'Furunculosis'], ['None', 'Insecticides'], ['root', 'Blister'], ['leaf', 'Wounds and injuries'], ['leaf', 'Malaria'], ['leaf', 'Fever'], ['leaf', 'Eczema'], ['leaf', 'Anthelmintics'], ['leaf', 'Acne vulgaris'], ['root', 'Abdominal pain'], ['leaf', 'Headache']]"
1058,Artemisia salsoloides,Artemisia salsoloides,"[['None', 'Anti-inflammatory agents']]"
1060,Artemisia scoparia,Artemisia scoparia,"[['aerial part', 'Vasodilator agents'], ['flower', 'Anthelmintics'], ['aerial part', 'Cholagogues and choleretics'], ['aerial part', 'Contraceptive agents'], ['aerial part', 'Malaria'], ['aerial part', 'Hypotension'], ['aerial part', 'Immunosuppressive agents'], ['aerial part', 'Dental plaque'], ['aerial part', 'Anti-inflammatory agents'], ['leaf', 'Hepatitis b'], ['aerial part', 'Analgesics'], ['flower', 'Antifungal agents'], ['whole plant', 'Antinematodal agents'], ['whole plant', 'Cathartics'], ['None', 'Bile acids and salts'], ['None', 'Burns'], ['None', 'Earache'], ['None', 'Hypotension'], ['None', 'Sleep aids, pharmaceutical'], ['None', 'Tranquilizing agents'], ['flower', 'Anti-bacterial agents']]"
1061,Artemisia sieversiana,Artemisia sieversiana,"[['None', 'Heart diseases'], ['None', 'Anti-infective agents, local'], ['None', 'Antipruritics'], ['None', 'Asthenia'], ['None', 'Edema'], ['None', 'Anti-inflammatory agents'], ['None', 'Gout'], ['None', 'Hysteria'], ['None', 'Intestinal diseases, parasitic'], ['None', 'Jaundice'], ['None', 'Nervous system diseases'], ['None', 'Splenic diseases'], ['None', 'Hypnotics and sedatives'], ['None', 'Hemostatics']]"
