,Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use,Kingdom,Family,Group,Common_Name,Synonymous_names,System_of_medicine
334,1311,Bambusa vulgaris,Bambusa vulgaris,"[['shoot', 'Emollients'], ['leaf', 'Anti-infective agents'], ['bark', 'Diaphoretic'], ['bark', 'Nausea'], ['shoot', 'Diaphoretic'], ['bark', 'Menstruation disturbances'], ['bark', 'Emollients'], ['bark', 'Diuretics'], ['bark', 'Astringents'], ['leaf', 'Cough'], ['whole plant excluding root', 'Contraceptive agents'], ['leaf', 'Burns'], ['bark', 'Vomiting'], ['leaf', 'Diuretics'], ['leaf', 'Fever'], ['leaf', 'Pharyngitis'], ['leaf', 'Wound healing'], ['leaf', 'Wounds and injuries'], ['leaf', 'Diaphoretic'], ['root', 'Diaphoretic'], ['root', 'Diuretics'], ['root', 'Emollients'], ['shoot', 'Diuretics'], ['bark', 'Hemorrhage'], ['leaf', 'Emollients'], ['leaf', 'Cooling effect on body']]",Plantae,Poaceae,Angiosperms,Golden Bamboo,Bambusa vulgaris,
335,1313,Baphia nitida,Baphia nitida,"[['seed', 'Platelet aggregation inhibitors']]",Plantae,Leguminosae,Angiosperms,,"Baphia nitida, Baphida nitida",
336,1316,Barbarea vulgaris,Barbarea vulgaris,"[['leaf', 'Wound healing'], ['whole plant', 'Diuretics'], ['whole plant', 'Appetite stimulants'], ['whole plant', 'Spermatogenesis'], ['None', 'Antiparasitic agents'], ['whole plant', 'Anthelmintics'], ['None', 'Scurvy'], ['None', 'Diuretics'], ['None', 'General tonic for rejuvenation']]",Plantae,Brassicaceae,Angiosperms,Yellow Rocket,Barbarea vulgaris,
337,1321,Barleria cristata,Barleria cristata,"[['None', 'Otitis media'], ['None', 'Vomiting'], ['None', 'Tuberculosis'], ['None', 'Snake bites'], ['None', 'General tonic for rejuvenation'], ['None', 'Hyperglycemia'], ['root', 'Snake bites'], ['None', 'Cough'], ['None', 'Asthma'], ['None', 'Antipyretics'], ['whole plant', 'Spasm'], ['whole plant', 'Hypoglycemic agents'], ['whole plant', 'Cardiovascular system'], ['whole plant', 'Asthma'], ['root', 'Stomach diseases'], ['root', 'Spasm'], ['None', 'Hematologic diseases'], ['root', 'Anti-inflammatory agents'], ['None', 'Demulcents'], ['None', 'Anti-inflammatory agents'], ['root', 'Antitussive agents'], ['root', 'Scorpion stings'], ['root', 'Antirheumatic agents'], ['root', 'Anti-bacterial agents'], ['root', 'Anemia'], ['root', 'Abortifacient agents'], ['leaf', 'Wound healing'], ['leaf', 'Toothache'], ['leaf', 'Snake bites'], ['leaf', 'Inflammation'], ['leaf', 'Eye diseases'], ['leaf', 'Edema'], ['None', 'Bronchitis'], ['leaf', 'Ear diseases'], ['leaf', 'Cough'], ['leaf', 'Antifungal agents'], ['leaf', 'Anemia'], ['leaf', 'Abdominal pain'], ['root', 'Cough'], ['root', 'Edema'], ['root', 'Inflammation'], ['root', 'Pneumonia'], ['root', 'Hypoglycemic agents']]",Plantae,Acanthaceae,Angiosperms,Striped Philippine Violet,"Barleria ciliata, Barleria cristata, Barleria dichotoma","Ayurveda, Siddha, Sowa Rigpa"
338,1331,Barleria lupulina,Barleria lupulina,"[['leaf', 'Hemostatics'], ['leaf', 'Toothache'], ['root', 'Jaundice'], ['leaf', 'Wounds and injuries'], ['root', 'Toothache'], ['root', 'Abdominal pain'], ['root', 'Snake bites'], ['leaf', 'Anti-inflammatory agents'], ['leaf', 'Ulcer']]",Plantae,Acanthaceae,Angiosperms,Hophead,Barleria lupulina,
339,1339,Barleria prionitis,Barleria prionitis,"[['None', 'Cough'], ['None', 'Diuretics'], ['None', 'Common cold'], ['aerial part', 'Paralysis'], ['aerial part', 'Lacerations'], ['aerial part', 'Diuretics'], ['None', 'Bronchitis'], ['None', 'Edema'], ['aerial part', 'Stomach diseases'], ['None', 'Asthma'], ['None', 'Antipruritics'], ['None', 'Toothache'], ['None', 'Skin diseases, infectious'], ['None', 'Skin diseases'], ['None', 'Fever'], ['None', 'General tonic for rejuvenation'], ['None', 'Anti-poisoning'], ['None', 'Periodontal diseases'], ['None', 'Paralysis'], ['None', 'Otitis'], ['None', 'Nervous system diseases'], ['None', 'Lymphadenitis'], ['None', 'Infection'], ['None', 'Hematologic diseases'], ['None', 'Hair diseases'], ['None', 'Gout'], ['None', 'Pruritus'], ['leaf', 'Furunculosis'], ['root', 'Antispermatogenic agents'], ['leaf', 'Contusions'], ['None', 'Tuberculosis'], ['None', 'Urination disorders'], ['None', 'Uterine diseases'], ['None', 'Vitiligo'], ['None', 'Anti-inflammatory agents'], ['None', 'Anti-infective agents, local'], ['whole plant', 'Anti-infective agents, local'], ['whole plant', 'Antifungal agents'], ['whole plant', 'Anti-bacterial agents'], ['stem', 'Tooth diseases'], ['stem', 'Cough'], ['root', 'Toothache'], ['root', 'Skin diseases'], ['None', 'Appetite stimulants'], ['root', 'Lymphadenitis'], ['None', 'Disorder of ejaculation'], ['root', 'Furunculosis'], ['whole plant', 'Asthma'], ['None', 'Expectorants'], ['whole plant', 'Edema'], ['None', 'Furunculosis'], ['root', 'Fever'], ['None', 'Diaphoretic'], ['None', 'Whooping cough'], ['root', 'Jaundice'], ['leaf', 'Common cold'], ['aerial part', 'Urinary tract infections'], ['bark', 'Edema'], ['bark', 'Cough'], ['leaf', 'Fever'], ['leaf', 'Diuretics'], ['leaf', 'Diabetes mellitus'], ['leaf', 'Cough'], ['leaf', 'Chest pain'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Antipyretics'], ['leaf', 'Acne vulgaris'], ['leaf', 'Abdominal pain'], ['flower', 'Inflammation'], ['flower', 'Dysmenorrhea'], ['bark', 'Diaphoretic'], ['bark', 'Whooping cough'], ['bark', 'Anti-poisoning'], ['bark', 'Lymphadenitis'], ['bark', 'Expectorants'], ['leaf', 'Headache'], ['leaf', 'Hematologic diseases'], ['leaf', 'Hemorrhage'], ['leaf', 'Inflammation'], ['root', 'Edema'], ['root', 'Cough'], ['root', 'Antipyretics'], ['root', 'Anti-inflammatory agents'], ['root', 'Anti-infective agents, local'], ['root', 'Abscess'], ['leaf', 'Wounds and injuries'], ['leaf', 'Wound healing'], ['leaf', 'Ulcer'], ['leaf', 'Tuberculosis'], ['leaf', 'Toothache'], ['leaf', 'Tooth diseases'], ['leaf', 'Stomach diseases'], ['leaf', 'Pruritus'], ['leaf', 'Paralysis'], ['leaf', 'Lymphadenitis'], ['leaf', 'Lacerations'], ['leaf', 'Urinary tract infections']]",Plantae,Acanthaceae,Angiosperms,Porcupine Flower,Barleria prionitis,"Ayurveda, Siddha, Unani"
340,1344,Barleria strigosa,Barleria strigosa,"[['leaf', 'Exanthema'], ['None', 'Mouthwashes'], ['leaf', 'Bites and stings'], ['leaf', 'Cough'], ['leaf', 'Inflammation'], ['None', 'Anemia'], ['root', 'Bronchitis'], ['root', 'Common cold'], ['root', 'Cough'], ['root', 'Inflammation'], ['None', 'Toothache'], ['root', 'Anemia'], ['None', 'Gingivitis'], ['None', 'Anti-infective agents, local']]",Plantae,Acanthaceae,Angiosperms,Bristly Blue Barleria,Barleria strigosa,"Ayurveda, Siddha, Sowa Rigpa"
341,1350,Barringtonia acutangula,Barringtonia acutangula,"[['root', 'Antiprotozoal agents'], ['root', 'Antipyretics'], ['root', 'Appetite stimulants'], ['root', 'Common cold'], ['root', 'Constipation'], ['root', 'Fever'], ['root', 'Expectorants'], ['root', 'Fishes, poisonous'], ['root', 'Hypoglycemic agents'], ['root', 'Laxatives'], ['root', 'Emetics'], ['leaf', 'General tonic for rejuvenation'], ['leaf', 'Gonorrhea'], ['leaf', 'Expectorants'], ['leaf', 'Emetics'], ['leaf', 'Dysentery'], ['root', 'Malaria'], ['leaf', 'Appetite stimulants'], ['leaf', 'Anthelmintics'], ['leaf', 'Anemia, hemolytic'], ['fruit', 'Wounds and injuries'], ['fruit', 'Wound healing'], ['fruit', 'Vomiting'], ['fruit', 'Urination disorders'], ['fruit', 'Ulcer'], ['leaf', 'Menorrhagia'], ['leaf', 'Diarrhea'], ['seed', 'Colic'], ['root', 'Splenomegaly'], ['None', 'Splenomegaly'], ['None', 'Respiratory tract diseases'], ['None', 'Periodontal diseases'], ['None', 'Insect bites and stings'], ['None', 'Headache'], ['None', 'Gonorrhea'], ['None', 'Gingivitis'], ['None', 'Flatulence'], ['None', 'Colic'], ['None', 'Cholera'], ['wood', 'Metrorrhagia'], ['wood', 'Menorrhagia'], ['wood', 'Hemostatics'], ['seed', 'Snake bites'], ['seed', 'Parturition'], ['seed', 'Headache'], ['seed', 'Goiter'], ['seed', 'Flatulence'], ['seed', 'Fishes, poisonous'], ['seed', 'Expectorants'], ['seed', 'Endophthalmitis'], ['seed', 'Emetics'], ['seed', 'Diarrhea'], ['seed', 'Bronchitis'], ['seed', 'Anemia, hemolytic'], ['root', 'Cooling effect on body'], ['root', 'Vomiting'], ['root', 'General tonic for rejuvenation'], ['fruit', 'Syphilis'], ['fruit', 'Skin diseases'], ['fruit', 'Seizures'], ['fruit', 'Astringents'], ['fruit', 'Antipyretics'], ['fruit', 'Antidotes'], ['fruit', 'Anti-bacterial agents'], ['fruit', 'Anthelmintics'], ['fruit', 'Anemia, hemolytic'], ['fruit', 'Abdominal pain'], ['bark', 'Toothache'], ['bark', 'Pneumonia'], ['bark', 'Periodontal diseases'], ['bark', 'Menorrhagia'], ['bark', 'Malaria'], ['bark', 'Labor pain'], ['bark', 'Jaundice'], ['bark', 'Insect repellents'], ['bark', 'Insect bites and stings'], ['bark', 'Gonorrhea'], ['bark', 'Anemia, hemolytic'], ['bark', 'Anthelmintics'], ['bark', 'Antiprotozoal agents'], ['bark', 'Antipyretics'], ['bark', 'Antirheumatic agents'], ['bark', 'Asthma'], ['fruit', 'Brain edema'], ['bark', 'Astringents'], ['bark', 'Contraceptive agents'], ['bark', 'Diarrhea'], ['bark', 'Dysentery'], ['bark', 'Emetics'], ['bark', 'Expectorants'], ['bark', 'Fishes, poisonous'], ['bark', 'Bites and stings'], ['fruit', 'Splenomegaly'], ['fruit', 'Bronchitis'], ['fruit', 'Colic'], ['fruit', 'Scorpion stings'], ['fruit', 'Rhinitis'], ['fruit', 'General tonic for rejuvenation'], ['fruit', 'Migraine disorders'], ['fruit', 'Menstruation-inducing agents'], ['fruit', 'Menorrhagia'], ['fruit', 'Low back pain'], ['fruit', 'Leprosy'], ['fruit', 'Lactation disorders'], ['fruit', 'Intestinal diseases, parasitic'], ['fruit', 'Inflammatory bowel diseases'], ['fruit', 'Infection'], ['fruit', 'Hemorrhage'], ['fruit', 'Hematologic diseases'], ['fruit', 'Headache'], ['fruit', 'Hallucinations'], ['fruit', 'Gonorrhea'], ['fruit', 'Common cold'], ['fruit', 'Cough'], ['fruit', 'Diarrhea'], ['fruit', 'Diuretics'], ['fruit', 'Dysmenorrhea'], ['fruit', 'Emetics'], ['fruit', 'Cathartics'], ['fruit', 'Endophthalmitis'], ['fruit', 'Expectorants'], ['fruit', 'Eye diseases'], ['fruit', 'Fever'], ['fruit', 'Flatulence'], ['fruit', 'Galactogogues'], ['fruit', 'Gingivitis'], ['fruit', 'Epilepsy'], ['fruit', 'Disorder of ejaculation'], ['None', 'Lacrimal apparatus diseases'], ['bark', 'Central nervous system diseases'], ['None', 'Wound healing']]",Plantae,Lecythidaceae,Angiosperms,Barringtonia,"Barringtonia acutangula, Barringionia acutungula, Barringtonia acurangulu","Ayurveda, Siddha, Sowa Rigpa, Unani"
342,1351,Barringtonia asiatica,Barringtonia asiatica,"[['bark', 'Tuberculosis'], ['fruit', 'Anthelmintics'], ['bark', 'Yaws'], ['bark', 'Wounds and injuries'], ['fruit', 'Wounds and injuries'], ['fruit', 'Yaws'], ['root', 'Wounds and injuries'], ['seed', 'Antifungal agents']]",Plantae,Lecythidaceae,Angiosperms,Sea Poison Tree,"Barringtonia speciosa, Barringtonia asiatica",Siddha
343,1352,Barringtonia racemosa,Barringtonia racemosa,"[['root', 'Fever'], ['root', 'Antipyretics'], ['fruit', 'Skin diseases'], ['fruit', 'Cough'], ['fruit', 'Diarrhea'], ['bark', 'Anthelmintics'], ['fruit', 'Asthma'], ['bark', 'Insecticides'], ['fruit', 'Migraine disorders'], ['seed', 'Abortifacient agents'], ['seed', 'Jaundice'], ['seed', 'Colic'], ['seed', 'Endophthalmitis'], ['seed', 'Vomiting'], ['None', 'Colic'], ['None', 'Endophthalmitis'], ['root', 'Cooling effect on body'], ['None', 'Jaundice'], ['None', 'Liver diseases'], ['None', 'Skin diseases'], ['seed', 'Anthelmintics'], ['root', 'Deobstruent'], ['None', 'Headache'], ['root', 'Appetite stimulants']]",Plantae,Lecythidaceae,Angiosperms,Powderpuff Mangrove,"Barringtonia racemosa, Barringionia racemosa","Ayurveda, Siddha"
344,1353,Basella alba,Basella alba,"[['root', 'Anthelmintics'], ['plant exudate', 'Acne vulgaris'], ['stem', 'Antipruritics'], ['stem', 'Emollients'], ['stem', 'Dysentery'], ['stem', 'Diuretics'], ['None', 'Ulcer'], ['stem', 'Balanitis'], ['stem', 'Anorexia'], ['stem', 'Asthenia'], ['stem', 'Aphrodisiacs'], ['root', 'Vomiting'], ['root', 'Counterirritant'], ['root', 'Gastrointestinal diseases'], ['root', 'Dermatitis'], ['stem', 'Fatigue'], ['stem', 'Appetite stimulants'], ['stem', 'Demulcents'], ['seed', 'Abortifacient agents'], ['stem', 'Laxatives'], ['leaf', 'Menstruation disturbances'], ['leaf', 'Mouth neoplasms'], ['leaf', 'Oral ulcer'], ['leaf', 'Constipation'], ['leaf', 'Aphrodisiacs'], ['leaf', 'Burns'], ['fruit', 'Menstruation disturbances'], ['leaf', 'Melanoma'], ['bark', 'Antihypertensive agents'], ['fruit', 'Anorexia'], ['leaf', 'Sleep initiation and maintenance disorders'], ['fruit', 'Eye diseases'], ['fruit', 'Galactogogues'], ['fruit', 'Hemoptysis'], ['fruit', 'Leukemia'], ['fruit', 'Malaria'], ['fruit', 'Abdominal pain'], ['leaf', 'Malaria'], ['leaf', 'Leukemia'], ['leaf', 'Common cold'], ['leaf', 'Urticaria'], ['leaf', 'Emollients'], ['leaf', 'Galactogogues'], ['leaf', 'Furunculosis'], ['leaf', 'Flatulence'], ['leaf', 'Fatigue'], ['leaf', 'Demulcents'], ['leaf', 'Dysentery'], ['leaf', 'Diuretics'], ['leaf', 'Diarrhea'], ['leaf', 'Hemoptysis'], ['leaf', 'Gonorrhea'], ['leaf', 'Leprosy'], ['leaf', 'Hemorrhage'], ['leaf', 'Hemostasis'], ['leaf', 'Hypnotics and sedatives'], ['leaf', 'Laxatives'], ['fruit', 'Melanoma'], ['stem', 'Flatulence'], ['fruit', 'Mouth neoplasms'], ['fruit', 'Oral ulcer'], ['stem', 'Urticaria'], ['whole plant', 'Antiviral agents'], ['None', 'Acne vulgaris'], ['None', 'Analgesia'], ['None', 'Antipyretics'], ['None', 'Aphrodisiacs'], ['None', 'Digestive system diseases'], ['stem', 'Urination disorders'], ['None', 'Hemorrhoids'], ['None', 'Labor pain'], ['None', 'Neoplasms'], ['None', 'Rectal fistula'], ['None', 'Sleep initiation and maintenance disorders'], ['None', 'Syphilis'], ['leaf', 'Ulcer'], ['stem', 'Hemoptysis'], ['None', 'Inflammation'], ['stem', 'Ulcer'], ['stem', 'Sleep initiation and maintenance disorders'], ['stem', 'Pain'], ['fruit', 'Sexual debility'], ['leaf', 'Abdominal pain'], ['leaf', 'Acne vulgaris'], ['leaf', 'Anorexia'], ['leaf', 'Antipruritics'], ['leaf', 'Antiviral agents'], ['leaf', 'Appetite stimulants'], ['leaf', 'Asthenia'], ['leaf', 'Balanitis'], ['leaf', 'Pain'], ['fruit', 'Dysentery'], ['leaf', 'Suppuration'], ['stem', 'Gonorrhea'], ['stem', 'Hemorrhage'], ['stem', 'Hemostasis'], ['stem', 'Hypnotics and sedatives'], ['stem', 'Leprosy'], ['leaf', 'Blister'], ['leaf', 'Sexual debility'], ['leaf', 'Urination disorders'], ['leaf', 'Warts'], ['leaf', 'Wounds and injuries']]",Plantae,Basellaceae,Angiosperms,Malabar Spinach,"Basella rubra, Basella alba, Basella cordifolia","Ayurveda, Siddha"
345,1355,Bassia butyracea,Diploknema butyracea,"[['None', 'Inflammation'], ['seed', 'Skin diseases'], ['None', 'Antirheumatic agents'], ['None', 'Antifungal agents'], ['seed', 'Cheilitis'], ['seed', 'Sprains and strains'], ['seed', 'Spermatocidal agents'], ['seed', 'Spasm'], ['seed', 'Parasympatholytics'], ['bark', 'Fishes, poisonous'], ['seed', 'Insecticides'], ['seed', 'Hypnotics and sedatives'], ['seed', 'Contusions'], ['seed', 'Contraceptive agents'], ['seed', 'Cardiovascular system'], ['seed', 'Antirheumatic agents'], ['seed', 'Paralysis'], ['seed', 'Fissure'], ['None', 'Skin diseases'], ['seed', 'Analgesics'], ['seed', 'Pruritus']]",Plantae,Sapotaceae,Angiosperms,Indian Butter Tree,"Bassia butyracea, Madhuca butyracea, Diploknema butyracea, Aisandra butyracea, Aisandra buivracea, Madhuca butyrucea",Ayurveda
346,1364,Bauhinia malabarica,Bauhinia malabarica,"[['whole plant excluding root', 'Cardiovascular system'], ['flower', 'Dysentery'], ['None', 'Dysentery'], ['bark', 'Dysentery'], ['bark', 'Diarrhea']]",Plantae,Leguminosae,Angiosperms,,Bauhinia malabarica,"Ayurveda, Siddha"
347,1365,Bauhinia monandra,Bauhinia monandra,"[['leaf', 'Common cold']]",Plantae,Leguminosae,Angiosperms,Pink Butterfly Flower,Bauhinia monandra,
348,1367,Bauhinia purpurea,Bauhinia purpurea,"[['leaf', 'Jaundice'], ['bark', 'Analgesics'], ['bark', 'Anti-inflammatory agents'], ['bark', 'Ulcer'], ['bark', 'Astringents'], ['bark', 'Diabetes mellitus'], ['bark', 'Diarrhea'], ['bark', 'Dysentery'], ['bark', 'Headache'], ['bark', 'Kidney diseases'], ['bark', 'Thyroid diseases'], ['leaf', 'General tonic for rejuvenation'], ['bark', 'Antineoplastic agents'], ['flower', 'Diarrhea'], ['leaf', 'Hypoglycemic agents'], ['bark', 'Anti-bacterial agents'], ['flower', 'Laxatives'], ['flower', 'Dysentery'], ['fruit', 'Thyroid diseases'], ['fruit', 'Kidney diseases'], ['fruit', 'Dysentery'], ['fruit', 'Diarrhea'], ['leaf', 'Diarrhea'], ['fruit', 'Astringents'], ['fruit', 'Analgesics'], ['fruit', 'Diabetes mellitus'], ['None', 'Diarrhea'], ['fruit', 'Anti-inflammatory agents'], ['bark', 'Wound healing'], ['root', 'Flatulence'], ['None', 'Balckness of lip or tongue'], ['root', 'Goiter'], ['fruit', 'Antineoplastic agents'], ['None', 'Astringents'], ['None', 'Antirheumatic agents'], ['None', 'Anti-inflammatory agents'], ['None', 'Anticonvulsants'], ['root', 'Hemorrhage'], ['None', 'Analgesics'], ['None', 'Alcoholic intoxication'], ['stem', 'Fractures, bone'], ['stem', 'Dysentery'], ['stem', 'Anthelmintics'], ['None', 'Bites and stings'], ['None', 'Delirium'], ['stem', 'Anemia, hemolytic'], ['None', 'Hemorrhage'], ['None', 'Snake bites'], ['None', 'Edema'], ['None', 'Fever'], ['None', 'Flatulence'], ['None', 'Goiter'], ['None', 'Inflammation'], ['None', 'Insecticides'], ['None', 'Laxatives'], ['None', 'Pain'], ['None', 'Rinderpest'], ['None', 'Scorpion stings'], ['None', 'Sepsis'], ['stem', 'Hemorrhoids'], ['fruit', 'Anti-bacterial agents']]",Plantae,Leguminosae,Angiosperms,Purple Orchid Tree,"Bauhinia purpurea, Bauhinia triandra, Bauhinia purpurrea","Ayurveda, Siddha, Sowa Rigpa, Unani"
349,1368,Bauhinia racemosa,Bauhinia racemosa,"[['bark', 'Antineoplastic agents'], ['fruit', 'Dysentery'], ['flower', 'Thirst'], ['flower', 'Pain'], ['flower', 'Metabolism'], ['flower', 'Mental disorders'], ['flower', 'Lymphadenitis'], ['flower', 'Laxatives'], ['flower', 'Hemostasis'], ['flower', 'Hemorrhoids'], ['flower', 'Hemorrhage'], ['leaf', 'Anthelmintics'], ['flower', 'Hematologic diseases'], ['flower', 'Fever'], ['flower', 'Cough'], ['bark', 'Ulcer'], ['bark', 'Skin diseases'], ['bark', 'Scabies'], ['bark', 'Lymphadenitis'], ['bark', 'Leukorrhea'], ['bark', 'Inflammation'], ['bark', 'Hypnotics and sedatives'], ['bark', 'Hemostatics'], ['flower', 'Goiter'], ['leaf', 'Diarrhea'], ['leaf', 'Dysentery'], ['bark', 'Anthelmintics'], ['bark', 'Antipyretics'], ['bark', 'Antithyroid agents'], ['bark', 'Astringents'], ['bark', 'Cardiovascular system'], ['bark', 'Conjunctivitis'], ['None', 'Dysentery'], ['bark', 'Diarrhea'], ['bark', 'Dysentery'], ['bark', 'Fistula'], ['bark', 'Furunculosis'], ['bark', 'Goiter'], ['bark', 'Hematologic diseases'], ['None', 'Conjunctivitis'], ['seed', 'Platelet aggregation'], ['seed', 'Hemagglutination'], ['seed', 'Antineoplastic agents'], ['root', 'Diarrhea'], ['leaf', 'Whooping cough'], ['leaf', 'Urination disorders'], ['leaf', 'Skin diseases'], ['leaf', 'Malaria'], ['leaf', 'Hematologic diseases'], ['bark', 'Antidotes'], ['leaf', 'Headache'], ['bark', 'Hemorrhoids'], ['bark', 'Hematuria']]",Plantae,Leguminosae,Angiosperms,Bidi Leaf Tree,"Bauhinia racemosa, Bauthinia racemosa","Ayurveda, Siddha, Unani"
350,1370,Bauhinia retusa,Bauhinia divaricata,"[['None', 'Wounds and injuries'], ['plant exudate', 'Menstruation-inducing agents'], ['plant exudate', 'Diuretics']]",Plantae,Leguminosae,Angiosperms,,"Bauhinia retusa, Bauhinia divaricata",Siddha
351,1371,Bauhinia roxburghiana,Bauhinia roxburghiana,"[['seed', 'Hypercholesterolemia'], ['leaf', 'Burns'], ['None', 'Snake bites'], ['None', 'Cholera'], ['bark', 'Contraceptive agents'], ['None', 'Cardiovascular system'], ['seed', 'Hypoglycemic agents'], ['seed', 'Hemagglutination'], ['plant exudate', 'Wound healing'], ['plant exudate', 'Menstruation-inducing agents'], ['plant exudate', 'Diuretics']]",Plantae,Leguminosae,Angiosperms,,Bauhinia roxburghiana,
352,1372,Bauhinia rufescens,Bauhinia rufescens,"[['bark', 'Astringents'], ['bark', 'Leprosy'], ['leaf', 'Eye diseases'], ['root', 'Fever'], ['stem', 'Leprosy'], ['root', 'Leprosy'], ['bark', 'Dysentery'], ['bark', 'Diarrhea']]",Plantae,Leguminosae,Angiosperms,,Bauhinia rufescens,
353,1374,Bauhinia semla,Bauhinia semla,"[['plant exudate', 'Menstruation-inducing agents'], ['None', 'Snake bites'], ['None', 'Cholera'], ['plant exudate', 'Wound healing'], ['plant exudate', 'Hypoglycemic agents'], ['None', 'Rinderpest'], ['plant exudate', 'Diuretics'], ['leaf', 'Burns'], ['plant exudate', 'Diabetes mellitus'], ['plant exudate', 'Hypercholesterolemia']]",Plantae,Leguminosae,Angiosperms,,Bauhinia semla,Siddha
354,1375,Bauhinia tomentosa,Bauhinia tomentosa,"[['root', 'Anthelmintics'], ['None', 'Snake bites'], ['root', 'Neoplasms'], ['flower', 'Wound healing'], ['root', 'Liver diseases'], ['root', 'Astringents'], ['leaf', 'Abscess'], ['fruit', 'Diuretics'], ['None', 'Goiter'], ['root', 'Diuretics'], ['None', 'Dysentery'], ['stem', 'Dysentery'], ['None', 'Anti-inflammatory agents'], ['None', 'Anthelmintics'], ['stem', 'Cooling effect on body'], ['None', 'Scorpion stings'], ['leaf', 'Dysentery'], ['stem', 'Diarrhea'], ['stem', 'Anthelmintics'], ['flower', 'Neoplasms'], ['flower', 'Menorrhagia'], ['flower', 'Liver diseases'], ['flower', 'Laxatives'], ['flower', 'Hemorrhage'], ['flower', 'Dysentery'], ['flower', 'Diuretics'], ['flower', 'Cough'], ['flower', 'Cholestasis'], ['flower', 'Astringents'], ['flower', 'Asthma'], ['bark', 'Wounds and injuries'], ['bark', 'Wound healing'], ['bark', 'Tuberculosis, lymph node'], ['bark', 'Tuberculosis'], ['bark', 'Skin diseases'], ['bark', 'General tonic for rejuvenation'], ['bark', 'Neoplasms'], ['bark', 'Lymphadenitis'], ['bark', 'Liver diseases'], ['bark', 'Intestinal diseases, parasitic'], ['bark', 'Hypothermia'], ['bark', 'Goiter'], ['bark', 'Diuretics'], ['bark', 'Attention deficit disorder with hyperactivity'], ['bark', 'Ulcer'], ['stem', 'Astringents'], ['stem', 'Hemorrhoids'], ['None', 'Diuretics'], ['seed', 'Wound healing'], ['seed', 'General tonic for rejuvenation'], ['seed', 'Neoplasms'], ['seed', 'Liver diseases'], ['seed', 'Diuretics'], ['seed', 'Astringents'], ['root', 'Wound healing'], ['bark', 'Astringents'], ['bark', 'Asthma'], ['bark', 'Central nervous system stimulants']]",Plantae,Leguminosae,Angiosperms,Yellow Orchid Tree,Bauhinia tomentosa,"Ayurveda, Siddha"
355,1377,Bauhinia vahlii,Bauhinia vahlii,"[['flower', 'Dysentery'], ['None', 'Urticaria'], ['None', 'Skin diseases'], ['None', 'General tonic for rejuvenation'], ['None', 'Dysentery'], ['None', 'Diarrhea'], ['None', 'Cholera'], ['None', 'Aphrodisiacs'], ['None', 'Abdominal pain'], ['stem', 'Contraceptive agents'], ['bark', 'Dysentery'], ['stem', 'Cardiovascular system'], ['seed', 'General tonic for rejuvenation'], ['seed', 'Aphrodisiacs'], ['root', 'Vomiting'], ['root', 'Syphilis'], ['root', 'Snake bites'], ['root', 'Liver diseases'], ['root', 'Hypersensitivity'], ['root', 'Antipyretics'], ['root', 'Anthelmintics'], ['bark', 'Hepatitis'], ['leaf', 'Dysentery'], ['leaf', 'Diarrhea'], ['leaf', 'Demulcents'], ['fruit', 'Diuretics'], ['bark', 'Wound healing'], ['root', 'Urticaria'], ['bark', 'Diarrhea']]",Plantae,Leguminosae,Angiosperms,Maloo Creeper,"Bauhinia vahlii, Phanera vahlii, Phanera vahlli",Ayurveda
