,Plant_Id,Scientific_Name,Family,Family_Hindi_Name),Species_Name,Common_Name,Habit,Habitat,Comments,Flower_Fruit,Distribution,Key_Feature
814,2814,Clematis simplicifolia,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Clematis simplicifolia Qureshi & Chaudhri,,Woody climber or scrambling shrub,"On shrubs in Subtropical, Warm broad-leaved and Evergreen oak forests, 1200-2060 m. altitude",,October-December,"Uttarakhand, Sikkim, Jammu and Kashmir",
815,2815,Clematis smilacifolia,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Clematis smilacifolia Wall.,,Climber,Tropical evergreen forests,Rare twiner along streams and moist valleys up to 600-900m.,June-November,"Andhra Pradesh, Kerala, Maharashtra, Odisha, Tamil Nadu",
816,2816,Clematis theobromina,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Clematis theobromina Dunn,,Climbing shrub,,,,,
817,2817,Clematis tibetana,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Clematis tibetana Kuntze,,Woody climber or scrambling shrub,"Slopes, scrub, grassy areas, gravelly river banks; 2200--4800 m altitude",,May-July,Uttarakhand,
818,2818,Clematis triloba,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Clematis heynei M.A.Rau & al.,Deccan Clematis,Liana,,"Rare, in open thickets and on Fort walls",August-September,"Karnataka, Maharashtra","A rampant woody climber with flowers in much-branched clusters in leaf axils. Flowers are attractive, 2-2.2 cm. across with numerous stamens. Leaves are pinnately compound with stalks of terminal leaflets elongated into tendrils; leaflets are entire and elliptic-ovate."
819,2819,Clematis udayanii,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Not found in Plant list,,Shrub,Tropical evergreen forests,Tropical evergreen forests at an altitude between 1500–1600 m,September-November,Kerala,"The several ribbed stem, broadly ovate-oblong leaves with crenate margin, faint lateral leaves, trichotomously branched long panicle inflorescence with many large flowers, sepals purplish on adaxial side, anthers with prominent connective and erect anthers after anthesis and compressed, short tailed achenes with hooked tip."
820,2820,Clematis wightiana,RANUNCULACEAE(Buttercup Or Crowfoot Family),NEELAMABARI FAMILY (नीलाम्बरी फैमिली),Clematis hirsuta Guill. & Perr.,,Liana,Shola and grasslands,"Occasional in moist valleys, above 1000m",October-May,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
821,2821,Cleome angustifolia,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome angustifolia Forssk.,Yellow Mouse-whiskers,Herb,Dry sandy places,Occasional,May-January,"Andhra Pradesh, Kerala, Tamil Nadu",Annual herb
822,2822,Cleome aspera,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome aspera J.Konig ex DC.,,Herb,"Deciduous forests, also in the plains",Occasional on bare gravelly ground,Throughout the year,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu","Spreading, ascending, softly prickled herb."
823,2823,Cleome brachycarpa,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome brachycarpa (Forssk.) Vahl ex DC.,,Herb,Growing among grasses,,May-July,Gujarat,
824,2824,Cleome burmanni,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome rutidosperma var. burmannii (Wight & Arn.) Siddiqui & S.N.Dixit,,Herb,Weed of cultivated fields,Degraded forests areas and plains,February-August,"Andhra Pradesh, Kerala, Maharashtra, Tamil Nadu",
825,2825,Cleome chelidonii,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome chelidonii L.f.,,Herb,Grows as a weed in moist places of cultivated fields,Common,Throughout the year,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",Gregarious annual herb with stout base
826,2826,Cleome felina,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome felina L.f.,,Herb,Scrub forests and fallow lands,Common,May-December,"Andhra Pradesh, Karnataka, Maharashtra, Tamil Nadu",Erect much branched herb
827,2827,Cleome fimbriata,CLEOMACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome quinquenervia DC.,,Herb,,,August-December,Rajasthan,
828,2828,Cleome gynandra,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome gynandra L.,Spider Flower,Herb,Weed of waste places and cultivated fields,Common,May-April,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
829,2829,Cleome gynandra,CLEOMACEAE(Caper Family),KARIL FAMILY (करील फैमिली),,,Herb,Dry sandy soil,,July-November,Rajasthan,
830,2830,Cleome hassleriana,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome houtteana Schltdl.,Spider Flower,Herb,,,,Tamil Nadu,
831,2831,Cleome monophylla,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome monophylla L.,Spindle Pod,Herb,Waste places and cultivated fields,Common weed of agriculture fields; hills to 900m,Throughout the year,"Kerala, Maharashtra, Odisha, Tamil Nadu","Glandular pubescent herb, leaf simple"
832,2832,Cleome rutidosperma,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome rutidosperma DC.,,Herb,Moist places,Introduced,August-February,"Andhra Pradesh, Kerala, Maharashtra, Odisha",
833,2833,Cleome scaposa,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome scaposa DC.,,Herb,,,September-October,Maharashtra,
834,2834,Cleome simplicifolia,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome simplicifolia Hook.f. & Thomson,,Herb,Cultivated and waste places,"Weed of cultivated lands, waste places",July-December,"Andhra Pradesh, Maharashtra",
835,2835,Cleome speciosa,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome speciosa Raf.,Whiskered Spider Flower,Herb,Grown in gardens,,April-December,"Kerala, Tamil Nadu",
836,2836,Cleome spinosa,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome spinosa Jacq.,Spider flower,Herb,Weed of moist localities,,March-December,"Kerala, Maharashtra",
837,2837,Cleome tenella,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome tenella L.f.,,Herb,,On hilly plains in gravelly ground.,Throughout the year,Tamil Nadu,
838,2838,Cleome viscosa,CAPPARACEAE(Caper Family),KARIL FAMILY (करील फैमिली),Cleome viscosa L.,"Wild-dog Mustard, Sticky Cleome",Herb,,Plains from the coast to 400m. Common weed of cultivated fields.,Throughout the year,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
839,2839,Clerodendrum aculeatum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Not found in The Plant List,,Shrub,,Hedge plant,Throughout the year,Karnataka,"A shrub, armed with short axillary spines"
840,2840,Clerodendrum calamitosum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum calamitosum L.,White Butterfly,Shrub,Introduced as ornamental plant; now naturalized,Often cultivated in gardens,Throughout the year,"Karnataka, Kerala",
841,2841,Clerodendrum capitatum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum capitatum (Willd.) Schumach. & Thonn.,,Shrub,,Cultivated in gardens,,Maharashtra,An erect or scrambling shrub
842,2842,Clerodendrum colebrookeanum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum colebrookeanum Walp.,East Indian Glory Bower,Shrub,"Roadsides, forest edges, moist, shady places and amidst bushes","Traditionally, it is used in the treatment of
various diseases due to its immense therapeutic potential",August-December,Sikkim,"broadly ovate or cordate leaf blade with large peltate
glands or glands on the abaxial surface of the leaf base and
corymb thrysoid inflorescence"
843,2843,Clerodendrum colebrookianum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum glandulosum Lindl.,,Undershrub,,,,,
844,2844,Clerodendrum cordatum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum cordatum D.Don,,Tree,"Tropical dry deciduous forests, Tropical moist deciduous forests",,,"Karnataka, Tamil Nadu",
845,2845,Clerodendrum glabrum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Volkameria glabra (E.Mey.) Mabb. & Y.W.Yuan,,Shrub,Garden plant,Occasional,,Maharashtra,
846,2846,Clerodendrum heterophyllum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Volkameria heterophylla Poir.,"Clerodendron, Tree of little stars",Shrub,Grown as hedge plant,,February-December,Kerala,
847,2847,Clerodendrum incisum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Rotheca incisa (Klotzsch) Steane & Mabb.,"Musical Note, Clerodendron, Witches Tongue",Shrub,Grown as garden plant,Often cultivated in gardens,Throughout the year,"Karnataka, Kerala",An erect bushy shrub
848,2848,Clerodendrum indicum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum indicum (L.) Kuntze,"Bowing Lady, India Tubeflower, Sky Rocket, Tubbeflower, Turk's Turbin",Shrub,Dry forests,Cultivated in warmer parts of the world,June-November,"Karnataka, Kerala, Odisha",
849,2849,Clerodendrum inerme,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Volkameria inermis L.,"Common Hedge Bower, Glory Bower, Embrert, Garden quinine, Sorcerers Bush, Wild Jasmine",Shrub,"Plains, scrub jungles and wastelands, often by fencing",Widely cultivated in gardens,Throughout the year,"Andhra Pradesh, Telangana, Karnataka, Kerala, Odisha, Tamil Nadu, Andaman and Nicobar Islands",
850,2850,Clerodendrum multiflorum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum phlomidis L.f.,,Shrub,,Common in hedges,August-April,Maharashtra,
851,2851,Clerodendrum nutans,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum nutans Wall. ex Jack,,Shrub,Cultivated in gardens,,,Karnataka,
852,2852,Clerodendrum paniculatum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum paniculatum L.,"Clerodendron, Orange Tower Flower, Pagoda Flower",Shrub,Often cultivated in gardens,Naturalized,May-December,"Karnataka, Kerala","A glabrescent undershrub, nodes hairy ; Leaves shallowly lobed, ovate with cordate base, membranous, glandular beneath,venation subpalmate,5- ribbed, Inflorescence a lax panicle, bracts conspicuous; corolla scarlet, lobes 5-6,spreading, fruit a 4 lobed drupe with  one seeded pyrenes."
853,2853,Clerodendrum petasites,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum petasites (Lour.) S.Moore,,Shrub,,,,Karnataka,
854,2854,Clerodendrum philippinum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum chinense (Osb.) Mabberley,"Chinese Glory Bower, Cashmere bouqet, Galse Pikake, Blory Bush, Scent Malli",Shrub,Planted,Flowers are sweet scented. Often planted in gardens and runs wild along slopes.,Throughout the year,"Karnataka, Kerala",
855,2855,Clerodendrum phlomidis,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum phlomidis L.f.,,Shrub,"Tropical dry deciduous forests, Tropical moist deciduous forests, also road sides",Shrub is foetid. Common along hedges throughout in villages. Flowers are fragrant during night.,September-May,"Andhra Pradesh, Karnataka, Kerala, Odisha, Tamil Nadu, Rajasthan",
856,2856,Clerodendrum quadriloculare,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum quadriloculare (Blanco) Merr.,,Shrub,,,,,
857,2857,Clerodendrum serratum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Not found in The Plant List,,Shrub,,Highly medicinal,August-September,Karnataka,"A large less branched shrub with simple opposite broad leaves. Flowers numerous, showy, in terminal panicle; pedicels often twisted. Flowers 2 cm. across with exserted stamens and style. Corolla pale blue, the larger lower lobe is dark bluish-purple. Fruit is a drupe, somewhat succulent, broadly obovoid and 4 lobed. A plant of moist wooded terrain."
858,2858,Clerodendrum serratum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Rotheca serrata (L.) Steane & Mabb.,"Bharangi, Blue flowered glory tree, Beetle killer",Shrub,Degraded scrub forests; Tropical moist deciduous forests,"On hills above 1000m,especially on cleared slopes.",Throughout the year,"Andhra Pradesh, Telangana, Kerala, Maharashtra, Tamil Nadu",
859,2859,Clerodendrum speciosissimum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum speciosissimum Drapiez,,Shrub,Garden plant,,,Maharashtra,
860,2860,Clerodendrum speciosum,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Clerodendrum speciosum Dombrain,,Shrub,,,,,
861,2861,Clerodendrum splendens,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum splendens G.Don,Flaming glorybower,Climbing shrub,Cultivated in gardens,,September-January,"Karnataka, Odisha",A Climbing shrub. Flowers in much branched cyme
862,2862,Clerodendrum thomsoniae,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum thomsoniae Balf.f.,"Bleeding-heart, Glory bower",Climber,Often cultivated in gardens,,Throughout the year,"Karnataka, Kerala","A Climbing shrub, often purplish"
863,2863,Clerodendrum viscosum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum infortunatum L.,Hill Glory Bower,Shrub,"Shaded places, hedges of forests","Roots and juice of plant used medicinally; Frequent in northern Eastern Ghats, in shaded waste places and along streams",October-July,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Arunachal Pradesh, Assam, Andaman and Nicobar Islands","Flowers pubescent, white, pink tinged. Drupe black"
864,2864,Clerodendrum viscosum,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Not found in The Plant List,,Undershrub,Undergrowth of deciduous forests,,October-July,Andhra Pradesh,
865,2865,Clerodendrum wallichii,VERBENACEAE(Verbena Or Vervain Family),SAGVAN FAMILY (सागवान फैमिली),Clerodendrum laevifolium Blume,"Bridal veil, Nodding Clerodendron",Shrub,Garden plant,,July-December,Kerala,
866,2866,Clethra arborea,CYRILLACEAE(Lily-Of-The-Valley-Tree Family),CLETHRA FAMILY,Clethra arborea Aiton,,Tree,,Cultivated,,"Karnataka, Tamil Nadu",
867,2867,Clianthus puniceus,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Clianthus puniceus (G.Don) Lindl.,,Herb,Grown as ornamental,,,,
868,2868,Clidemia hirta,MELASTOMATACEAE(Melastoma Family),ANJAN FAMILY (अंजन फैमिली),Clidemia hirta (L.) D. Don,"Soapbush, Koster's curse",Shrub,Degraded forest areas,,December-March,"Karnataka, Kerala",
869,2869,Clinacanthus nutans,ACANTHACEAE(Acanthus Family),ARUSA FAMILY (अडूसा फैमिली),Clinacanthus nutans (Burm.f.) Lindau,Snake plant,Shrub,,Cultivated for its medicinal use,December-April,Kerala,
870,2870,Clinopodium longicaule,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Clinopodium piperitum (D.Don) Murata,,Herb,Grassy slopes,,January-April,Uttarakhand,
871,2871,Clinopodium umbrosum,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Clinopodium umbrosum (M.Bieb.) Kuntze,,Herb,Grasslands and Shola,,October-December,Kerala,
872,2872,Clinopodium vulgare,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Clinopodium vulgare L.,"Cushion Calamint, Wild Basil, Dog mint",Perennial herb,"Dry grassland and heathland, usually on limestone or chalky soils",The leaves of wild basil are used as an aromatic herb in the preparation of food dishes and to make a herbal tea.,March-July,Uttarakhand,
873,2873,Clintonia udensis,LILIACEAE(Lily Family),BACHNAG FAMILY (बचनाग फैमिली),Clintonia udensis Trautv. & C.A.Mey.,Bead Lily,Perennial herb,"Sparse forests, alpine forests; 1600 - 4000 m. altitude","In India, this plant is reported at Singba Rhododendron Sanctuary at 3200 m.",May-October,Uttarakhand,
874,2874,Clitoria arborea,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Not found in The Plant List,,Climber,,,,,
875,2875,Clitoria biflora,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Clitoria annua J.Graham,"Bombay Bean, Asian pigeonwings, Butterfly pea",Herb,Along roadsides or an undergrowth in deciduous forest,,August-November,"Maharashtra, Odisha, Uttarakhand",Leaflets emarginate at apex
876,2876,Clitoria terneata,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Clitoria ternatea L.,"Butterfly Pea, Clitoria",Climber,Deciduous forests also cultivated as ornamental,Cultivated for its decorative flowers,February-October,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Uttarakhand",
877,2877,Clitoria ternatea,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Clitoria ternatea L.,,Climber,,,,,
878,2878,Clitoria ternatea,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Not found in The Plant List,,Climber,Grown as garden plant,,November-March,Kerala,
879,2879,Clivia miniata,AMARYLLIDACEAE(Amaryllis Family),SUDARSHAN FAMILY (सुदर्शन फैमिली),Unresolved name,,Herb,,,,Karnataka,
880,2880,Clusia rosea,CLUSIACEAE(Garcinia Or Kokam Family),KOKAM FAMILY (कोकम फैमिली),Clusia rosea Jacq.,"Autograph Tree, Pitch Apple, Balsam Fig",Tree,,,March-April,Maharashtra,"Evergreen tree; Leaves broad, dark green, leathery; Flowers born at the end of branches; Fruit fleshy, light green, poisonous fruit; persistent fruits turn black when ripe and split open, bright red seeds surrounded by black, resinous material."
881,2881,Clytostoma binatum,BIGNONIACEAE(Bignonia Family),NEELI GULMOHUR FAMILY (नीली गुलमोहर फैमिली),Bignonia binata Thunb.,,Climber,,Grown in Gardens,December-April,Kerala,
882,2882,Clytostoma callistegioides,BIGNONIACEAE(Bignonia Family),NEELI GULMOHUR FAMILY (नीली गुलमोहर फैमिली),Unresolved name,,Climber,Tropical evergreen forests,Cultivated,,Tamil Nadu,
883,2883,Clytostoma purpureum,BIGNONIACEAE(Bignonia Family),NEELI GULMOHUR FAMILY (नीली गुलमोहर फैमिली),Bignonia binata Thunb.,,Climber,Tropical evergreen forests,Cultivated,,Tamil Nadu,
884,2884,Cnesmone javanica,EUPHORBIACEAE(Spurge Family),AMLA FAMILY (आँवला फैमिली),Cnesmone javanica Blume,,Climbing shrub,,,,Odisha,
885,2885,Cnestis ramiflora,CONNARACEAE(Indian Zebrawood Family),CONNARUS FAMILY,Cnestis palala (Lour.) Merr.,,Shrub,,,November-March,Andaman and Nicobar Islands,"A scandent shrub with dark brown branchlets, all softer parts pubescent. Flowers yellowish, fasciculate from the scars of fallen leavrs; petals 5. Follicle falcate, curved, 1-3 together, bright-red"
886,2886,Cnidium  monnieri,APIACEAE(Carrot Or Coriander Or Parsley Family),SAUNF FAMILY (सौंफ फैमिली),Cnidium monnieri (L.) Cusson,"Shechuangzi, Osthole, Jashoshi, Cnidii Fructus",Herb,"Riparian grasslands, field margins",It is used traditional herbal medicines and its fruits have been used to treat a variety of diseases,April-October,Uttarakhand,
887,2887,Cobaea scandens,POLEMONIACEAE(Phlox Family),PHLOX FAMILY,Cobaea scandens Cav.,"Cup & Saucer Vine, Mexican Ivy, Monastery Bells",Climber,,Naturalized in India,,Tamil Nadu,
888,2888,Coccinia grandis,CUCURBITACEAE(Gourd Or Melon Family),KHARBOOZA FAMILY (खरबूजा फैमिली),Coccinia grandis (L.) Voigt,"Ivy Gourd, Scarlet gourd, Tindora",Climber,"Tropical dry deciduous forests, wasteland, also cultivated",Often in plains to 500m. Common in wasteland and thickets. Fruits are edible and used in traditional cooking.,Throughout the year,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu","Glabrous. Tendrils slender, simple. Leaves palmately 5-nerved, cordate. Female flowers with staminodes, yellow. Fruit ellipsoid, outer layer fibrous, ripe from tip, red when ripe."
889,2889,Coccoloba uvifera,POLYGONACEAE(Buckwheat Family),JANGLI PALAK FAMILY (जंगली पालक फैमिली),Coccoloba uvifera (L.) L.,,Tree,Plains,Cultivated,,Tamil Nadu,
890,2890,Cocculus hirsutus,MENISPERMACEAE(Moonseed Family),GILOY FAMILY (गिलोय फैमिली,Cocculus hirsutus (L.) W.Theob.,"Broom Creeper, Ink Berry",Climbing shrub,"Tropical dry deciduous forests, scrub","Roots are laxative.; Common in field. Root is used in Chronic rheumatism, mineral diseases, leaves are used externally for eczema. Plains to 750m",Throughout the year,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
891,2891,Cocculus laurifolius,MENISPERMACEAE(Moonseed Family),GILOY FAMILY (गिलोय फैमिली,Cocculus laurifolius DC.,,Tree,"Tropical evergreen forests, Shola",Cultivated in gardens,April-October,"Karnataka, Kerala, Maharashtra, Tamil Nadu, Uttarakhand",
892,2892,Cocculus pendulous,MENISPERMACEAE(Moonseed Family),GILOY FAMILY (गिलोय फैमिली,Cocculus pendulous (J.R. & G.Forst) Diels.,,Climber,Scrub jungle and deciduous forests,,October-January,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu","Climbers with thick stem bearing puberulous branchlets; Leaves alternate, glabrous -puberulous, nerved at the base; Male flowers sessile or subsessile in axillary fascicles; Calyx ovate-elliptic, fleshy-membranous, glabrous -puberulous; Female flowers axillary-solitary; Fruit is an ovoid-obovoid-reniform compressed drupe turning reddish-black when dry."
893,2893,Cochlearia cochlearioides,BRASSICACEAE(Mustard Family),SARSON FAMILY (सरसों फैमिली),Unresolved name,,Herb,Moist places,Occasional,December-March,Maharashtra,
894,2894,Cochlearia minutissima,BRASSICACEAE(Mustard Family),SARSON FAMILY (सरसों फैमिली),Eutrema minutissimum (O.E.Schulz) D.A.German & Al-Shehbaz,,Herb,"In moist gravel, 4570 m. altitude",,June-July,"Uttarakhand, Sikkim",
895,2895,Cochlospermum religiosum,COCHLOSPERMACEAE(Cochlospermum Family),GALGAL FAMILY,Cochlospermum religiosum (L.) Alston,"Yellow Silk-cotton Tree, Golden Silk-cotton Tree, Torchwood",Tree,"Tropical moist deciduous forests, Tropical dry deciduous forests, stony hills","Common in dry deciduous forests in rocky areas. Gum is sweetish, cooling, sedative and useful in cough.",February-August,"Andhra Pradesh, Kerala, Maharashtra, Odisha, Tamil Nadu",Deciduous large tree
896,2896,Cocos nucifera,ARECACEAE(Palm Family),NARIYAL FAMILY (नारियल फैमिली),Cocos nucifera L.,Coconut Palm,Palm (Columnar),,"Extensively cultivated throughout. Wood is used for building purposes. The fibrous mesocarp of the fruit yeilds the coir fibre used for ropes, nets. Sap of the peduncle yeilds toddy. The kernel of the fruit is edible and yeilds an edible oil.",Throughout the year,"Goa, Karnataka, Kerala, Maharashtra",
897,2897,Codariocalyx motorius,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Codariocalyx motorius (Houtt.) H.Ohashi,"Telegraph Plant, Indian Telegraph Plant",Undershrub,Tropical moist deciduous forests and grasslands,Occasional in hills as an undergrowth along stream banks up to 1000m.,August-February,"Andhra Pradesh, Kerala, Odisha, Tamil Nadu",Erect undershrub
898,2898,Codiaeum variegatum,EUPHORBIACEAE(Spurge Family),AMLA FAMILY (आँवला फैमिली),Codiaeum variegatum (L.) Rumph. ex A.Juss.,,Shrub,Grown in the gardens,,July-January,Kerala,
899,2899,Codonacanthus pauciflorus,ACANTHACEAE(Acanthus Family),ARUSA FAMILY (अडूसा फैमिली),Codonacanthus pauciflorus (Nees) Nees,,Herb,"Evergreen broad-leaved forests, wet places in ravines.",,August-April,Arunachal Pradesh,"Herbs 20-60 cm tall, much branched or unbranched. Stems 4-angled, sulcate, 2-fariously pubescent. Petiole 3-15 mm, puberulent or glabrous; leaf blade elliptic, ovate, or lanceolate. Capsule 1-1.9 cm, glabrous. Seeds 2-3 mm."
900,2900,Codonacanthus sanjappae,ACANTHACEAE(Acanthus Family),ARUSA FAMILY (अडूसा फैमिली),"Codonacanthus sanjappae Karthig., Sumathi, Jayanthi & D. Naras.",,,,,,Andaman and Nicobar Islands,
901,2901,Codonopsis ovata,CAMPANULACEAE(Bellflower Family),DHAWAL FAMILY (धवल फैमिली),Codonopsis ovata Benth.,Kashmir Bonnet Bellflower,Herb,"Rocky and alpine slopes of Himalayas, at altitudes of 3000-4200 m.","The roots and leaves are used to make a poultice for the treatment of bruises, ulcers and wounds.",July-August,Uttarakhand,
902,2902,Codonopsis purpurea,CAMPANULACEAE(Bellflower Family),DHAWAL FAMILY (धवल फैमिली),Pankycodon purpureus (Wall.) D.Y.Hong & X.T.Ma,,Herb,"Grassy slopes, scrub, under low moist forest or in exposed areas among rocsks, epiphytic on trunks in forests; 1800 - 3300 m. altitude",,August-October,"Uttarakhand, Sikkim",Leaves opposite; plants glabrous throughout
903,2903,Codonopsis rotundifolia,CAMPANULACEAE(Bellflower Family),DHAWAL FAMILY (धवल फैमिली),Codonopsis rotundifolia Benth.,"Roundleaf Bellflower, Roundleaf Asiabell",Perennial vine,Mountain slopes and shrubberies; 1800 - 3700 m. altitude,,July-September,Uttarakhand,"Twiners. Leaves up to 7 x 5 cm, broadly ovate with rounded or cordate bases"
904,2904,Codonopsis vadsea,CAMPANULACEAE(Bellflower Family),DHAWAL FAMILY (धवल फैमिली),Codonopsis vadsea S.S.Dash & A.A.Mao,,,,,,Arunachal Pradesh,
905,2905,Codonopsis viridis,CAMPANULACEAE(Bellflower Family),DHAWAL FAMILY (धवल फैमिली),Codonopsis viridis Wall.,"Green Bonnet Bellflower, Bonnet Bellflower",Perennial vine,"Scrub on open slopes, forest margins; 1200 - 3000 m. altitude",Climbing over shrubs in Himalaya.,August-November,"Uttarakhand, Sikkim","Calyx lobes linear to linear-lanceolate, well separate"
906,2906,Coelachne minuta,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Coelachne minuta Bor,,Herb,,"Rare; open areas, rocky areas and moist grasslands",August-November,Maharashtra,
907,2907,Coelachne perpusilla,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Coelachne perpusilla (Nees ex Steud.) Thwaites,,Herb,Swampy areas of grasslands,Rare; lateritic soils,July-November,"Kerala, Maharashtra",
908,2908,Coelachne simpliciuscula,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Coelachne simpliciuscula (Steud.) Munro ex Benth.,,Herb,Marshy areas in grasslands,,October-April,"Kerala, Maharashtra, Odisha",
909,2909,Coelachyropsis lagopoides,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Coelachyropsis lagopoides (Burm.f.) Bor,,Herb,Plains and moist localities,,,Tamil Nadu,
