,Plant_Id,Scientific_Name,Common_Name,Regional_Name,Category,Family,Light,Water,Primary_Grown_for,Flowering_Season,Foliage_Color,Height_or_Length,Spread_or_Width,Plant_Form,Lifespan,Special_Feature,Plant_Description,Growing_Tips,clean_info
823,981,Asparagus pyramidalis,Asparagus Pyrimidalis,"Marathi - Satavari, Hindi - Satavari, Bengali - Stmuli, Gujarati - Satavar, Kannada - Jayibem, Malayalam - Shatavali, Sanskrit - Shatavari, Tamil - Kilavari, Telugu - Philli Tega",shrubs,liliaceae lily family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Foliage,flowers flushes throughout year flowers inconspicuous,green,1 to 2 meters,50 cms to 100 cms,spreading upright erect,,auspicious feng shui plant good cut foliage good screening good hedges borders grow trellis chain link fencing attracts bees thorny spiny suitable road median planting hanging weeping growth habit grows best humid warm regions,delicate asparagus variety leaves fine asparagus generally easy plants grow one probably more difficult one grow belong lily family swollen roots plants finely cut leaves leaves sought florists flower arrangements asparagus plants throw new shoots base new shoot stronger larger previous ones flowers tiny white borne profusion fruit small round green matures red black,asparagus plants relatively easy grow one preferably grown pots plants like rich fertile well drained soil grown soil well pots planted pots changed every years pots get full swollen roots plants trimmed keep shape plants grow best semi shade trained onto kind support,"Asparagus pyramidalis Asparagus Pyrimidalis shrubs liliaceae lily family Sun growing, Semi shade Normal, Can tolerate less, Can tolerate more Foliage flowers flushes throughout year flowers inconspicuousgreen 1 to 2 meters 50 cms to 100 cms spreading upright erect  auspicious feng shui plant good cut foliage good screening good hedges borders grow trellis chain link fencing attracts bees thorny spiny suitable road median planting hanging weeping growth habit grows best humid warm regions asparagus plants relatively easy grow one preferably grown pots plants like rich fertile well drained soil grown soil well pots planted pots changed every years pots get full swollen roots plants trimmed keep shape plants grow best semi shade trained onto kind support"
824,982,"Asparagus retrofactus, Asparagus myriocaldus",Ming Asparagus,"Marathi - Satavari, Hindi - Satavari, Bengali - Stmuli, Gujarati - Satavar, Kannada - Jayibem, Malayalam - Shatavali, Sanskrit - Shatavari, Tamil - Kilavari, Telugu - Philli Tega",shrubs indoor plants,liliaceae lily family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Foliage,flowers flushes throughout year flowers inconspicuous,green,2 to 4 meters,1 to 2 meters,spreading upright erect,,auspicious feng shui plant good cut foliage good screening good hedges borders attracts bees thorny spiny suitable road median planting hanging weeping growth habit,pretty large growing asparagus size somewhat restrained planted pots asparagus easy plants grow belong lily family swollen roots plants finely cut leaves leaves sought florists flower arrangements asparagus plants throw new shoots base new shoot stronger larger previous ones flowers tiny white borne profusion fruit small round green matures red black plants trimmed keep shape variety valued asparagus cut foliage trade flowers cool regions,asparagus plants easy grow rarely come across anybody problem growing asparagus plants plants like rich fertile well drained soil grown soil well pots planted pots changed every years pots get full swollen roots,"Asparagus retrofactus, Asparagus myriocaldus Ming Asparagus shrubs indoor plants liliaceae lily family Sun growing, Semi shade Normal, Can tolerate less, Can tolerate more Foliage flowers flushes throughout year flowers inconspicuousgreen 2 to 4 meters 1 to 2 meters spreading upright erect  auspicious feng shui plant good cut foliage good screening good hedges borders attracts bees thorny spiny suitable road median planting hanging weeping growth habit asparagus plants easy grow rarely come across anybody problem growing asparagus plants plants like rich fertile well drained soil grown soil well pots planted pots changed every years pots get full swollen roots"
825,984,Asparagus sprengerii,"Asparagus Sprengerii, Sprengeri Fern","Marathi - Satavari, Hindi - Satavari, Bengali - Stmuli, Gujarati - Satavar, Kannada - Jayibem, Malayalam - Shatavali, Sanskrit - Shatavari, Tamil - Kilavari, Telugu - Philli Tega",shrubs medicinal plants groundcovers indoor plants,liliaceae lily family,"Sun growing, Semi shade",Normal,Foliage,flowers flushes throughout year flowers inconspicuous,green,50 cms to 100 cms,50 cms to 100 cms,low spreading weeping,,auspicious feng shui plant good cut foliage good screening good hedges borders good edges ie small hedge border attracts bees thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,commonly grown ornamental asparagus plants stiff leaves borne long shoots asparagus easy plants grow belong lily family swollen roots plants finely cut leaves leaves sought florists flower arrangements asparagus plants throw new shoots base new shoot stronger larger previous ones flowers tiny white borne profusion fruit small round green matures red black plants trimmed keep shape plants often used planting balconies raised beds hang,asparagus plants easy grow rarely come across anybody problem growing asparagus plant plants like rich fertile well drained soil grown soil well pots planted pots changed every years pots get full swollen roots,"Asparagus sprengerii Asparagus Sprengerii, Sprengeri Fern shrubs medicinal plants groundcovers indoor plants liliaceae lily family Sun growing, Semi shade Normal Foliage flowers flushes throughout year flowers inconspicuousgreen 50 cms to 100 cms 50 cms to 100 cms low spreading weeping  auspicious feng shui plant good cut foliage good screening good hedges borders good edges ie small hedge border attracts bees thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside asparagus plants easy grow rarely come across anybody problem growing asparagus plant plants like rich fertile well drained soil grown soil well pots planted pots changed every years pots get full swollen roots"
826,986,Aster amellus lilac,Daisy Michaelmus Lilac,,shrubs groundcovers,compositae sunflower family,"Sun growing, Semi shade",Normal,Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,spreading upright erect,,good cut flowers plant puja prayer flower leaves attracts birds attracts butterflies attracts bees suitable road median planting good seaside,one hardiest ground covers plants planted need little looking one thing need lots sunshine flowers long lasting used flower arrangements,plant well drained rich soil plants planted 15 20 cms apart even coverage water normally plants not like cold dry winters perform well pots well planted commercially cut flowers,"Aster amellus lilac Daisy Michaelmus Lilac shrubs groundcovers compositae sunflower family Sun growing, Semi shade Normal Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms spreading upright erect  good cut flowers plant puja prayer flower leaves attracts birds attracts butterflies attracts bees suitable road median planting good seaside plant well drained rich soil plants planted 15 20 cms apart even coverage water normally plants not like cold dry winters perform well pots well planted commercially cut flowers"
827,987,Barleria repens,"Red Barleria, Small Bush Violet, Berleria, Barleria Groundcover",Marathi - Tambadi Koranti,groundcovers shrubs,acanthaceae crossandra thunbergia family,"Sun growing, Semi shade",Can tolerate less,Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border attracts bees animals not eat thorny spiny suitable road median planting hanging weeping growth habit good seaside,genus named honour jbarrelier french botanist 17 th century red barleria unusual african cousin native barlerias either yellow white usually forms rounded spreading bushy shrub 07 high 1 wide sometimes also climbsleans nearby trees shrubs 2 new branches tend root touch ground plant quickly increase territory not checked fact botanical name repens stands creeping evergreen plant soft shiny dark green leaves flowers fairly large deep purplemauve pinkred fruit explosive clubshaped capsule,barlerias commonly grown hedge plants mixed shrubbery orange barleria low growing often used ground cover suited growing pots hanging baskets well compact bushy growth tolerate regular pruning shaping grow well sun partial shade plant well drained fertile soils also grown shapely attractive pot plants,"Barleria repens Red Barleria, Small Bush Violet, Berleria, Barleria Groundcover groundcovers shrubs acanthaceae crossandra thunbergia family Sun growing, Semi shade Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border attracts bees animals not eat thorny spiny suitable road median planting hanging weeping growth habit good seaside barlerias commonly grown hedge plants mixed shrubbery orange barleria low growing often used ground cover suited growing pots hanging baskets well compact bushy growth tolerate regular pruning shaping grow well sun partial shade plant well drained fertile soils also grown shapely attractive pot plants"
828,988,Bauhinia galpinii,"Bauhinia Brick Red, Pride Of The Cape","Marahi - Lal Kanchan, Hindi- Lal Kachnar, Telugu- Kanchana, Bengali- Kanchan",shrubs trees,leguminosae fabaceae pea family,Sun growing,Normal,Flowers,yeararound flowering flowers flushes throughout year,green,4 to 6 meters,4 to 6 meters,low spreading,,auspicious feng shui plant rare plant difficult get plant plant puja prayer flower leaves good screening good hedges borders attracts birds attracts butterflies attracts bees quick growing trees evergreen trees suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,native tropical america spectacular plant standard flowers contrast well foliage busy rambling prostrate shrub small tree plant 1875 height leaves 5075 cm long brick red flowers yellow spot side,quick growing species prefers milder climate well drained soil ideal growing small gardens large pots flowering starts 23 years plants prefer acidic soil,"Bauhinia galpinii Bauhinia Brick Red, Pride Of The Cape shrubs trees leguminosae fabaceae pea family Sun growing Normal Flowers yeararound flowering flowers flushes throughout yeargreen 4 to 6 meters 4 to 6 meters low spreading  auspicious feng shui plant rare plant difficult get plant plant puja prayer flower leaves good screening good hedges borders attracts birds attracts butterflies attracts bees quick growing trees evergreen trees suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside quick growing species prefers milder climate well drained soil ideal growing small gardens large pots flowering starts 23 years plants prefer acidic soil"
829,989,Bauhinia acuminata,"Bauhinia Dwarf White, Orchid Tree, Kanchan White, Kuchar","Marahi - Kanchan, Hindi- Kachnal, Safed Kachnar, Telugu- Kanchana, Bengali- Kanchan",shrubs,leguminosae fabaceae pea family,"Sun growing, Semi shade","Normal, Can tolerate more",Flowers,march april may june july august september flowers flushes throughout year,green,2 to 4 meters,1 to 2 meters,upright erect,,auspicious feng shui plant good making bonsai plant puja prayer flower leaves good screening good hedges borders attracts birds attracts butterflies attracts bees suitable road median planting grows best humid warm regions,pretty plant pea family familyleguminosae upright growing shrub reach height 2 25 height leaves 10 15 cm long branches pubescnt covered hairoften starting near ground,fast growing shrub plants prefer acidic soils show iron deficiency alkaline soils condition met hardy plant quite widely planted gardens suitable growing small gardens pot plant ground requires rich well drained soil,"Bauhinia acuminata Bauhinia Dwarf White, Orchid Tree, Kanchan White, Kuchar shrubs leguminosae fabaceae pea family Sun growing, Semi shade Normal, Can tolerate more Flowers march april may june july august september flowers flushes throughout yeargreen 2 to 4 meters 1 to 2 meters upright erect  auspicious feng shui plant good making bonsai plant puja prayer flower leaves good screening good hedges borders attracts birds attracts butterflies attracts bees suitable road median planting grows best humid warm regions fast growing shrub plants prefer acidic soils show iron deficiency alkaline soils condition met hardy plant quite widely planted gardens suitable growing small gardens pot plant ground requires rich well drained soil"
830,990,Bauhinia rufescens,Bauhinia Mini,"Marahi - Kanchan, Hindi- Kachnal, Telugu- Kanchana, Bengali- Kanchan",shrubs trees,leguminosae fabaceae pea family,"Sun growing, Semi shade",Normal,Foliage,flowers flushes throughout year flowers inconspicuous,green,2 to 4 meters,2 to 4 meters,irregular spreading,,indigenous native india auspicious feng shui plant good making bonsai good topiary good hedges borders attracts birds attracts butterflies attracts bees salt salinity tolerant good seaside,often grows quite big ground primarily suited grown bonsai trimmed shaped shrub leaves nice silvery green colour plant hardy grows well sun well semi shade,easy plant grow unlike bauhinias grow well acidic well alkaline soils,"Bauhinia rufescens Bauhinia Mini shrubs trees leguminosae fabaceae pea family Sun growing, Semi shade Normal Foliage flowers flushes throughout year flowers inconspicuousgreen 2 to 4 meters 2 to 4 meters irregular spreading  indigenous native india auspicious feng shui plant good making bonsai good topiary good hedges borders attracts birds attracts butterflies attracts bees salt salinity tolerant good seaside easy plant grow unlike bauhinias grow well acidic well alkaline soils"
831,991,"Bauhinia tomentosa, B. picta, B. taitensid","St Thomas Tree,  Bell Bauhinia","Marathi- Pivala Kanchan, Hindi - Chota Kachnar",shrubs trees,leguminosae fabaceae pea family,"Sun growing, Semi shade",Normal,Flowers,march april may june july august,green,2 to 4 meters,1 to 2 meters,upright erect,,indigenous native india auspicious feng shui plant rare plant difficult get plant good making bonsai plant puja prayer flower leaves good screening good hedges borders attracts birds attracts butterflies attracts bees quick growing trees suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,native india china tall shrub grow small tree 3 4 tall leaves 34 cm long flowers sulpur yellow dark brown spot inside used hedges black wood hard blotch likened blood martyred st thomas gives species common name,fast growing grows type soil produces flowers abundantly additional fertilizers make plants grow healthy,"Bauhinia tomentosa, B. picta, B. taitensid St Thomas Tree,  Bell Bauhinia shrubs trees leguminosae fabaceae pea family Sun growing, Semi shade Normal Flowers march april may june july augustgreen 2 to 4 meters 1 to 2 meters upright erect  indigenous native india auspicious feng shui plant rare plant difficult get plant good making bonsai plant puja prayer flower leaves good screening good hedges borders attracts birds attracts butterflies attracts bees quick growing trees suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside fast growing grows type soil produces flowers abundantly additional fertilizers make plants grow healthy"
832,992,Buxus microphylla japonica,"Boxwood For Bonsai, California Boxwood, Japanese Little Leaf Boxwood",,shrubs,buxaceae boxwood family,"Sun growing, Semi shade",Normal,Foliage,,green,50 cms to 100 cms,50 cms to 100 cms,spherical rounded,,good making bonsai good edges ie small hedge border suitable road median planting grows best cooler regions,evergreen densely branching shrub 2 high wiry shoots small 1 2 cm obovate leathery leaves closely set glossy brght green deep green clipped hedges globes pyramids topiary shapes containers,tolerates dry heat california patio alkaline soil not fully frost resistant,"Buxus microphylla japonica Boxwood For Bonsai, California Boxwood, Japanese Little Leaf Boxwood shrubs buxaceae boxwood family Sun growing, Semi shade Normal Foliage green 50 cms to 100 cms 50 cms to 100 cms spherical rounded  good making bonsai good edges ie small hedge border suitable road median planting grows best cooler regions tolerates dry heat california patio alkaline soil not fully frost resistant"
833,993,Beaucarnea recurvata,"Nolina Elephants Foot, Pony Tail, Elephant Foot Tree.","Marathi - Nolina, Hindi - Nolina",shrubs cacti succulents indoor plants trees,liliaceae lily family,"Sun growing, Semi shade, Shade growing","Can tolerate less, Requires less",Foliage,flowers inconspicuous,green,4 to 6 meters,2 to 4 meters,upright erect,,good screening quick growing trees evergreen trees suitable road median planting hanging weeping growth habit good seaside,native taxas mexico pony tail popularly known favorite house plant lower stem swollen reservoir water food large plants may hollow upper stem elongates forming narrow trunk topped leaves 34 inch wide 4 feet long spikes small white flower produced infrequently grow height 10 meters however satys small pots not flower hot areas requires cold flower set seed,grow best full sun dry atmosphere soil sandy loam limestone balanced fertilizer added planting beaucarnea soldom needs repotting stay years small container case getting tall may cut back plant sprout,"Beaucarnea recurvata Nolina Elephants Foot, Pony Tail, Elephant Foot Tree. shrubs cacti succulents indoor plants trees liliaceae lily family Sun growing, Semi shade, Shade growing Can tolerate less, Requires less Foliage flowers inconspicuousgreen 4 to 6 meters 2 to 4 meters upright erect  good screening quick growing trees evergreen trees suitable road median planting hanging weeping growth habit good seaside grow best full sun dry atmosphere soil sandy loam limestone balanced fertilizer added planting beaucarnea soldom needs repotting stay years small container case getting tall may cut back plant sprout"
834,994,Beleperone guttata rubra,Shrimp Plant Red,,shrubs groundcovers,acanthaceae crossandra thunbergia family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,spreading,,good cut flowers good cut foliage plant puja prayer flower leaves good screening attracts butterflies attracts bees suitable road median planting hanging weeping growth habit good seaside,shrimp plant native mexico evergreen feathery growing foliage shrub grows 1 meter high stem downy soft oval light green leaves shiny downy beneath tongue like white flowers insignificant mostly hidden plants bloom bloom plants best suited planting hedge group kept height around 60 cms,well full sunlight well shade grow rich well composted well drained soil plants planted distance around 25 30 cms achieve quick even coverage not make low hedge may require frequent cutting loss flowers,"Beleperone guttata rubra Shrimp Plant Red shrubs groundcovers acanthaceae crossandra thunbergia family Sun growing, Semi shade, Shade growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms spreading  good cut flowers good cut foliage plant puja prayer flower leaves good screening attracts butterflies attracts bees suitable road median planting hanging weeping growth habit good seaside well full sunlight well shade grow rich well composted well drained soil plants planted distance around 25 30 cms achieve quick even coverage not make low hedge may require frequent cutting loss flowers"
835,995,"Bixa orellana, B. americana, B. urucurana","Annatto Tree, Lipstick Tree. Anato","Hindi - Latkan, Manipuri - Ureirom, Kannada - Rangamali, Tamil - Sappiravirai, Oriya - Lotkons, Bengali - Latkan, Malayalam - Kurannumannal, Marathi - Sendri, Gujarati - Sinduri, Assamese - Jolandhar",shrubs trees,bixaceae,Sun growing,Normal,Fruit or Seed,yeararound flowering flowers flushes throughout year,green,2 to 4 meters,2 to 4 meters,irregular upright erect,,good screening attracts butterflies attracts bees suitable road median planting good seaside grows best humid warm regions must farm house big gardens,native mexico regions south america grows 7 high evergreen tree mostly encountered shrub small flowers followed hairy fruit fruit capsule 6 cms long reddish rich brown fruits fruits densely packed small soft angular w oody seeds oily feel soft powdery coating powder used commerce edible food colouring important honey plant bixa powder also used fabric dye grown gardens primarily decorative red spiny fruit,quick growing plant soil planting rich nutrients slightly acidic grown much charming blooms decorative fruit plants not like brackish water plants also grown large pots,"Bixa orellana, B. americana, B. urucurana Annatto Tree, Lipstick Tree. Anato shrubs trees bixaceae Sun growing Normal Fruit or Seed yeararound flowering flowers flushes throughout yeargreen 2 to 4 meters 2 to 4 meters irregular upright erect  good screening attracts butterflies attracts bees suitable road median planting good seaside grows best humid warm regions must farm house big gardens quick growing plant soil planting rich nutrients slightly acidic grown much charming blooms decorative fruit plants not like brackish water plants also grown large pots"
836,996,Bougainvillea x buttiana begum sikhander,Bougainvillea Pink And White,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",shrubs climbers creepers vines,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,1 to 2 meters,1 to 2 meters,irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,flowers beautifully tinged light pink bougainvillea x buttiana types compact growth generally dwarf types bract size medium excellent color range makes popular,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea x buttiana begum sikhander Bougainvillea Pink And White shrubs climbers creepers vines nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 1 to 2 meters 1 to 2 meters irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
837,997,Bougainvillea x buttiana blondie,Bougainvillea Yellow Orange,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",shrubs climbers creepers vines,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,4 to 6 meters,4 to 6 meters,climbing growing support irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,flowers begin orange pink turn yellow multi toned appearance bougainvillea x buttiana types compact growth dwarf type bract size medium excellent color range makes popular,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea x buttiana blondie Bougainvillea Yellow Orange shrubs climbers creepers vines nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 4 to 6 meters 4 to 6 meters climbing growing support irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
838,998,Bougainvillea spectabilis chitra,Bougainvillea Red With Pink Splashes,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",climbers creepers vines shrubs,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,8 to 12 meters,,climbing growing support irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,red bougainvillea splashes pink plants slightly shy comes flowering unusual flower colour makes worthwhile variety leaves deep shade dark green not plant one small spaces gets huge not suitable growing pots,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea spectabilis chitra Bougainvillea Red With Pink Splashes climbers creepers vines shrubs nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 8 to 12 meters  climbing growing support irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
839,999,Bougainvillea buttiana plena var mahara crimson,Bougainvillea Red Double,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",climbers creepers vines shrubs,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,2 to 4 meters,4 to 6 meters,irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,color variety dark red misleading true color comes monsoon winter summer months fades dark pink double bougainvilleas called million dollar varieties probably first introduced sensation sensationally expensive flowers multi bracted dense look full plants not large growing drawback varieties not self cleaning ie old flowers not fall immediately stay plant long time eventually drop,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea buttiana plena var mahara crimson Bougainvillea Red Double climbers creepers vines shrubs nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 2 to 4 meters 4 to 6 meters irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
840,1000,Bougainvillea buttiana plena var pink supreme,Bougainvillea Dark Pink Double,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",climbers creepers vines shrubs,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,2 to 4 meters,4 to 6 meters,irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,color variety dark pink time bracts develop dark pink unlike cherry blossom begin light pink double bougainvilleas called million dollar varieties probably first introduced sensation sensationally expensive flowers multi bracted dense look full plants not large growing drawback varieties not self cleaning ie old flowers not fall immediately stay plant long time eventually drop,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea buttiana plena var pink supreme Bougainvillea Dark Pink Double climbers creepers vines shrubs nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 2 to 4 meters 4 to 6 meters irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
841,1001,Bougainvillea buttiana plena var cherry blossom,Bougainvillea Light Pink Double,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",climbers creepers vines shrubs,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,2 to 4 meters,4 to 6 meters,irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,color variety misleading starts faint pink almost white bracts gradually turn darker pink called million dollar varieties probably first introduced sensation sensationally expensive flowers multi bracted dense look full plants not large growing drawback varieties not self cleaning ie old flowers not fall immediately stay plant long time eventually drop,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea buttiana plena var cherry blossom Bougainvillea Light Pink Double climbers creepers vines shrubs nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 2 to 4 meters 4 to 6 meters irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
842,1002,Bougainvillea buttiana plena var rosevelts delight,Bougainvillea Orange Double,"Marathi - Bougainvillea, Bengali - Baganbilash, Hindi - Baganvilas, Telugu- Bogam Malle",climbers creepers vines shrubs,nyctaginaceae bougainvillea family,Sun growing,"Can tolerate more, Requires less",Flowers,yeararound flowering flowers flushes throughout year,green,2 to 4 meters,4 to 6 meters,irregular spreading,,good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside,color variety orange double bougainvilleas called million dollar varieties probably first introduced sensation sensationally expensive flowers multi bracted dense look full plants not large growing drawback varieties not self cleaning ie old flowers not fall immediately stay plant long time eventually drop,care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more,"Bougainvillea buttiana plena var rosevelts delight Bougainvillea Orange Double climbers creepers vines shrubs nyctaginaceae bougainvillea family Sun growing Can tolerate more, Requires less Flowers yeararound flowering flowers flushes throughout yeargreen 2 to 4 meters 4 to 6 meters irregular spreading  good making bonsai good topiary good screening good hedges borders grow trellis chain link fencing attracts butterflies animals not eat thorny spiny suitable road median planting hanging weeping growth habit salt salinity tolerant good seaside care culture bougainvilleas need care culture bougainvillea hardy plants care taken planting new plants not break soil ball fine roots break plants may die established care minimum need occasional pruning keep check avoid planting next trees may climb take tree pruning done flowering water absolutely less okay leaves wilt little water stress makes flower more"
