Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use,Kingdom,Family,Group,Common_Name,Synonymous_names,System_of_medicine
1481,Bidens bipinnata,Bidens bipinnata,"[['seed', 'General tonic for rejuvenation'], ['None', 'Hemostatics'], ['None', 'Earache'], ['None', 'Conjunctivitis'], ['seed', 'Expectorants'], ['root', 'Asthma'], ['root', 'Antiemetics'], ['root', 'Expectorants'], ['root', 'Parasympatholytics'], ['root', 'General tonic for rejuvenation'], ['seed', 'Antiemetics'], ['seed', 'Asthma'], ['seed', 'Parasympatholytics'], ['None', 'Anti-bacterial agents']]",Plantae,Compositae,Angiosperms,Spanish Needles,"Bidens bipinnatus, Bidens bipinnata",
1486,Bidens pilosa,Bidens pilosa,"[['leaf', 'Abdominal pain'], ['leaf', 'Colic'], ['leaf', 'Conjunctivitis'], ['leaf', 'Constipation'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Earache'], ['leaf', 'Inflammation'], ['leaf', 'Hemostatics'], ['leaf', 'Ear diseases'], ['flower', 'Diarrhea'], ['leaf', 'Esophageal neoplasms'], ['leaf', 'Intestinal diseases, parasitic'], ['leaf', 'Ulcer'], ['root', 'Malaria'], ['seed', 'Anthelmintics'], ['None', 'Anthelmintics'], ['None', 'Burns'], ['None', 'Cough'], ['leaf', 'Lymphadenitis'], ['None', 'Hypoglycemic agents'], ['None', 'Leprosy'], ['None', 'Skin diseases'], ['None', 'Dysentery'], ['leaf', 'Tuberculosis'], ['None', 'Antiprotozoal agents'], ['None', 'Fistula']]",Plantae,Compositae,Angiosperms,Beggar Tick,Bidens pilosa,"Ayurveda, Siddha, Unani"
1488,Bidens tripartita,Bidens tripartita,"[['None', 'Laxatives'], ['None', 'Eczema'], ['None', 'Diaphoretic'], ['None', 'Scurvy'], ['None', 'Gout'], ['None', 'Dysentery'], ['whole plant', 'Laxatives'], ['None', 'Astringents'], ['None', 'Antipyretics'], ['None', 'Edema'], ['None', 'Antineoplastic agents'], ['None', 'Menstruation-inducing agents'], ['root', 'Laxatives'], ['None', 'Diuretics'], ['None', 'Narcotics'], ['None', 'Anti-inflammatory agents'], ['None', 'Uterine diseases'], ['whole plant', 'Hypnotics and sedatives'], ['whole plant', 'Hemoptysis'], ['whole plant', 'Hematuria'], ['whole plant', 'Gout'], ['whole plant', 'Edema'], ['whole plant', 'Diuretics'], ['whole plant', 'Antipyretics'], ['whole plant', 'Scurvy'], ['whole plant', 'Anti-infective agents'], ['whole plant', 'Antiemetics'], ['seed', 'Menstruation-inducing agents'], ['seed', 'Kidney calculi'], ['seed', 'Gallstones'], ['seed', 'Expectorants'], ['seed', 'Diuretics'], ['seed', 'Antiemetics'], ['whole plant', 'Narcotics'], ['None', 'Hypnotics and sedatives'], ['whole plant', 'Uterine hemorrhage'], ['None', 'Hematuria'], ['None', 'Wounds and injuries'], ['None', 'Respiratory tract diseases'], ['whole plant', 'Anti-infective agents, local']]",Plantae,Compositae,Angiosperms,Threelobe Beggar Tick,Bidens tripartita,
1511,Bischofia javanica,Bischofia javanica,"[['None', 'Dysentery'], ['None', 'Diarrhea'], ['None', 'Anthelmintics'], ['seed', 'Hemagglutination'], ['leaf', 'Wounds and injuries'], ['leaf', 'Wound healing'], ['leaf', 'Astringents'], ['leaf', 'Toothache'], ['leaf', 'Eye diseases'], ['bark', 'Pharyngitis'], ['bark', 'Fever'], ['bark', 'Diarrhea'], ['bark', 'Cough'], ['bark', 'Burns']]",Plantae,Phyllanthaceae,Angiosperms,Bishop Wood,Bischofia javanica,Siddha
1513,Bistorta affinis,Bistorta affinis,"[['rhizome', 'Anti-inflammatory agents'], ['rhizome', 'Appetite stimulants'], ['rhizome', 'Fever'], ['rhizome', 'Influenza, human'], ['leaf', 'Abdominal pain'], ['shoot', 'Dysentery'], ['leaf', 'Burns'], ['leaf', 'Headache'], ['rhizome', 'Lung diseases'], ['root', 'Diarrhea']]",Plantae,Polygonaceae,Angiosperms,Himalayan Fleeceflower,Bistorta affinis,
1520,Bixa orellana,Bixa orellana,"[['leaf', 'Snake bites'], ['leaf', 'Wounds and injuries'], ['root', 'Anti-infective agents'], ['root', 'Antipyretics'], ['root', 'Gastric acid'], ['root', 'Fever'], ['leaf', 'Pharyngitis'], ['root', 'Gonorrhea'], ['root', 'Hypotension'], ['root', 'Insecticides'], ['root', 'Central nervous system depressants'], ['leaf', 'Jaundice'], ['leaf', 'Antipyretics'], ['leaf', 'Dysentery'], ['leaf', 'Diuretics'], ['leaf', 'Antiprotozoal agents'], ['leaf', 'Anti-bacterial agents'], ['fruit', 'Scabies'], ['fruit', 'Eczema'], ['fruit', 'Central nervous system diseases'], ['fruit', 'Cathartics'], ['fruit', 'Astringents'], ['fruit', 'Antiviral agents'], ['fruit', 'Antiprotozoal agents'], ['fruit', 'Anti-bacterial agents'], ['root', 'Parasympatholytics'], ['leaf', 'Gonorrhea'], ['root', 'Spasm'], ['wood', 'Syncope'], ['seed', 'Antipyretics'], ['wood', 'Hematologic diseases'], ['wood', 'Stomatitis, aphthous'], ['None', 'Antipyretics'], ['None', 'Astringents'], ['None', 'Bites and stings'], ['None', 'Blister'], ['None', 'Digestive system diseases'], ['None', 'Diuretics'], ['None', 'Dysentery'], ['None', 'Epilepsy'], ['None', 'Hemostasis'], ['None', 'Laxatives'], ['None', 'Mosquito control'], ['None', 'Skin diseases'], ['None', 'Antiperiodic'], ['whole plant excluding root', 'Cardiovascular system'], ['stem', 'Liver diseases'], ['stem', 'Insecticides'], ['stem', 'Emollients'], ['seed', 'Astringents'], ['seed', 'Blister'], ['seed', 'Cicatrix'], ['seed', 'Diuretics'], ['seed', 'Dysentery'], ['seed', 'Epilepsy'], ['seed', 'Gonorrhea'], ['root', 'Antiperiodic'], ['seed', 'Hemostasis'], ['seed', 'Anti-poisoning'], ['seed', 'Sexually transmitted diseases'], ['seed', 'Skin diseases'], ['seed', 'Antiperiodic'], ['stem', 'Antineoplastic agents'], ['stem', 'Aphrodisiacs'], ['stem', 'Cicatrix'], ['seed', 'Kidney diseases'], ['seed', 'Laxatives'], ['seed', 'Leprosy']]",Plantae,Bixaceae,Angiosperms,Lipstick Tree,"Bixa orellana, Bixa orelena","Ayurveda, Homeopathy, Siddha"
1526,Blainvillea acmella,Blainvillea acmella,"[['leaf', 'Anti-infective agents, local'], ['shoot', 'Wounds and injuries']]",Plantae,Compositae,Angiosperms,Para Cress Flower,Blainvillea acmella,
1530,Blepharis edulis,Blepharis edulis,"[['leaf', 'General tonic for rejuvenation'], ['leaf', 'Ulcer'], ['leaf', 'Wound healing'], ['leaf', 'Wounds and injuries'], ['root', 'Diuretics'], ['root', 'Dysmenorrhea'], ['root', 'Menstruation disturbances'], ['root', 'Urinary bladder diseases'], ['leaf', 'Liver diseases'], ['leaf', 'Pharyngitis'], ['leaf', 'Splenic diseases'], ['None', 'Antirheumatic agents'], ['seed', 'Anti-inflammatory agents'], ['leaf', 'Asthma'], ['leaf', 'Ascites'], ['leaf', 'Aphrodisiacs'], ['None', 'Vitiligo'], ['None', 'Wounds and injuries'], ['None', 'Asthma'], ['seed', 'Abortifacient agents'], ['leaf', 'Cathartics'], ['leaf', 'Epistaxis'], ['seed', 'Aphrodisiacs'], ['whole plant', 'Genital infection'], ['None', 'Ulcer'], ['None', 'Ascites'], ['None', 'Epistaxis'], ['None', 'Erectile dysfunction'], ['None', 'Liver diseases'], ['None', 'Splenic diseases'], ['whole plant', 'Burns'], ['seed', 'Deobstruent'], ['seed', 'Urination disorders'], ['seed', 'Expectorants'], ['seed', 'Diuretics'], ['seed', 'Conjunctivitis']]",Plantae,Acanthaceae,Angiosperms,,"Blepharis persica, Blepharis edulis","Ayurveda, Unani"
1536,Blepharispermum subsessile,Blepharispermum subsessile,"[['rhizome', 'Contraceptive agents'], ['None', 'General tonic for rejuvenation'], ['None', 'Common cold'], ['None', 'Anthelmintics'], ['whole plant', 'General tonic for rejuvenation'], ['root', 'Rheumatoid arthritis'], ['root', 'Skin diseases'], ['root', 'Scabies'], ['root', 'Intestinal diseases, parasitic'], ['root', 'Flatulence'], ['aerial part', 'Insecticides'], ['None', 'Rhinitis'], ['root', 'General tonic for rejuvenation']]",Plantae,Compositae,Angiosperms,,"Blepharispermum subsessile, Blepharispermum sub-sessile",Ayurveda
1538,Blighia sapida,Blighia sapida,"[['bark', 'Chest pain'], ['bark', 'Edema'], ['bark', 'Orchitis'], ['bark', 'General tonic for rejuvenation'], ['fruit', 'Anti-inflammatory agents'], ['fruit', 'Hypoglycemic agents'], ['fruit', 'Spasm'], ['fruit', 'Spermatocidal agents'], ['leaf', 'Eye diseases'], ['leaf', 'Eye drops'], ['seed', 'Hypoglycemic agents'], ['seed', 'Antioxidants'], ['fruit', 'Parasympatholytics'], ['leaf', 'Migraine disorders'], ['seed', 'Sarcoma']]",Plantae,Sapindaceae,Angiosperms,,Blighia sapida,
1541,Blumea aurita,Blumea viscosa,"[['None', 'Antirheumatic agents']]",Plantae,Compositae,Angiosperms,Sticky Blumea,"Blumea aurita, Blumea viscosa",
1547,Blumea eriantha,Blumea eriantha,"[['None', 'Menstruation-inducing agents'], ['None', 'Hypohidrosis'], ['None', 'Flatulence'], ['None', 'Antirheumatic agents'], ['None', 'Antifungal agents'], ['None', 'Anti-bacterial agents'], ['whole plant', 'Flatulence'], ['leaf', 'Menstruation-inducing agents'], ['leaf', 'Insecticides'], ['leaf', 'Diuretics'], ['leaf', 'Cough'], ['leaf', 'Common cold'], ['leaf', 'Antifungal agents'], ['leaf', 'Anti-bacterial agents']]",Plantae,Compositae,Angiosperms,Wool-Flower Blumea,Blumea eriantha,"Ayurveda, Unani"
1553,Blumea lacera,Blumea lacera,"[['leaf', 'General tonic for rejuvenation'], ['leaf', 'Deobstruent'], ['leaf', 'Skin diseases'], ['leaf', 'Urination disorders'], ['leaf', 'Wound healing'], ['root', 'Antipyretics'], ['leaf', 'Counterirritant'], ['root', 'Cholera'], ['seed', 'Anti-bacterial agents'], ['whole plant', 'Anti-bacterial agents'], ['whole plant', 'Antifungal agents'], ['whole plant', 'Anti-inflammatory agents'], ['root', 'Astringents'], ['leaf', 'Hemostasis'], ['leaf', 'Eye drops'], ['leaf', 'Eczema'], ['leaf', 'Dysentery'], ['leaf', 'Diuretics'], ['leaf', 'Cholera'], ['leaf', 'Astringents'], ['leaf', 'Antiviral agents'], ['leaf', 'Antipyretics'], ['leaf', 'Anti-inflammatory agents'], ['leaf', 'Anti-infective agents'], ['leaf', 'Antifungal agents'], ['leaf', 'Anthelmintics'], ['whole plant', 'Antipyretics'], ['leaf', 'Hemorrhoids'], ['whole plant', 'Diuretics'], ['None', 'Pain'], ['whole plant', 'Scurvy'], ['None', 'Hemostatics'], ['None', 'Inflammation'], ['None', 'Intestinal diseases, parasitic'], ['None', 'Leukorrhea'], ['None', 'Liver diseases'], ['None', 'Menstruation-inducing agents'], ['whole plant', 'Insecticides'], ['None', 'Headache'], ['None', 'Parasympatholytics'], ['None', 'General tonic for rejuvenation'], ['None', 'Thirst'], ['None', 'Wound healing'], ['None', 'Wounds and injuries'], ['None', 'Anti-inflammatory agents'], ['None', 'Nasal disease'], ['None', 'Hematemesis'], ['None', 'Halitosis'], ['None', 'Cholera'], ['None', 'Antiparasitic agents'], ['None', 'Deobstruent'], ['None', 'Antipyretics'], ['None', 'Appetite stimulants'], ['None', 'Astringents'], ['None', 'Fever'], ['None', 'Central nervous system diseases'], ['None', 'Bronchitis'], ['None', 'Common cold'], ['None', 'Contusions'], ['None', 'Cough'], ['None', 'Diuretics'], ['None', 'Hemorrhage'], ['None', 'Endophthalmitis'], ['None', 'Antifungal agents'], ['None', 'Anthelmintics'], ['None', 'Abdominal pain'], ['None', 'Anti-bacterial agents'], ['None', 'Eye diseases']]",Plantae,Compositae,Angiosperms,Lettuce-Leaf Blumea,"Blumea subcapitata, Blumea lacera, Blumea subcapitura, Conzya lacera, Blumea. lacera","Ayurveda, Siddha, Unani"
1555,Blumea lanceolaria,Blumea lanceolaria,"[['leaf', 'Bronchitis'], ['whole plant', 'Beriberi'], ['whole plant', 'Anti-bacterial agents'], ['shoot', 'Postnatal care'], ['leaf', 'Stomatitis, aphthous'], ['leaf', 'Pain'], ['leaf', 'Hypohidrosis'], ['leaf', 'Antirheumatic agents'], ['whole plant', 'Constipation'], ['None', 'Anemia, hemolytic']]",Plantae,Compositae,Angiosperms,Lanceleaf Blumea,"Blumea myriocephala, Blumea lanceolaria",
1557,Blumea malcolmii,Blumea malcolmii,"[['whole plant', 'Insecticides'], ['whole plant', 'Diuretics'], ['leaf', 'Wound healing'], ['aerial part', 'Anti-bacterial agents'], ['whole plant', 'Insect repellents'], ['whole plant', 'Tick infestations']]",Plantae,Compositae,Angiosperms,Malcom's Blumea,"Blumea malcomii, Blumea malcolmii, Blumea malcolnii",
1558,Blumea membranacea,Blumea membranacea,"[['whole plant', 'Spasm'], ['whole plant', 'Antifungal agents'], ['whole plant', 'Antidepressive agents'], ['whole plant', 'Anti-arrhythmia agents'], ['leaf', 'Inhibit mycelium'], ['leaf', 'Antiviral agents'], ['whole plant', 'Anti-bacterial agents'], ['None', 'Anti-bacterial agents'], ['None', 'Antifungal agents'], ['leaf', 'Anti-bacterial agents']]",Plantae,Compositae,Angiosperms,,"Blumea membranacea, Blumea membranaceae",
1561,Blumea neilgherrensis,Blumea axillaris,"[['leaf', 'Headache'], ['whole plant', 'Antifungal agents'], ['whole plant', 'Anti-bacterial agents'], ['leaf', 'Skin diseases'], ['leaf', 'Insect repellents'], ['leaf', 'Hemostasis'], ['leaf', 'Anti-infective agents, local'], ['whole plant', 'Diarrhea'], ['leaf', 'Anticoagulants'], ['leaf', 'Antiviral agents'], ['leaf', 'Ear diseases'], ['leaf', 'Endophthalmitis'], ['None', 'Anti-infective agents, local']]",Plantae,Compositae,Angiosperms,Soft Blumea,"Blumea neilgherrensis, Blumea mollis, Blumea wightiana, Blumea axillaris",
1562,Blumea obliqua,Blumea obliqua,"[['None', 'Diuretics'], ['whole plant', 'Central nervous system diseases'], ['whole plant', 'Cardiovascular system'], ['whole plant', 'Diuretics']]",Plantae,Compositae,Angiosperms,Oblique Blumea,Blumea obliqua,
1579,Boehmeria macrophylla,Boehmeria macrophylla,"[['leaf', 'Hemostatics'], ['whole plant', 'Cardiovascular system'], ['whole plant', 'Central nervous system diseases'], ['whole plant excluding root', 'Diuretics'], ['leaf', 'Eczema'], ['bark', 'Fractures, bone'], ['aerial part', 'Diuretics'], ['None', 'Antineoplastic agents']]",Plantae,Urticaceae,Angiosperms,,"Boehmeria platyphylla, Boehmeria macrophylla, Boehmeria plaryphyila, Boehmeria rotundifolia, Boehmeria paltyphylla",
1582,Boehmeria nivea,Boehmeria nivea,"[['root', 'Laxatives'], ['leaf', 'Eczema'], ['leaf', 'Anti-inflammatory agents']]",Plantae,Urticaceae,Angiosperms,,Boehmeria nivea,
1583,Boehmeria platyphylla,Boehmeria macrophylla,"[['whole plant', 'Cardiovascular system'], ['leaf', 'Hemostatics'], ['bark', 'Fractures, bone'], ['whole plant', 'Central nervous system diseases'], ['None', 'Antineoplastic agents'], ['whole plant excluding root', 'Diuretics'], ['aerial part', 'Diuretics'], ['leaf', 'Eczema']]",Plantae,Urticaceae,Angiosperms,,"Boehmeria platyphylla, Boehmeria macrophylla, Boehmeria plaryphyila, Boehmeria rotundifolia, Boehmeria paltyphylla",
1587,Boenninghausenia albiflora,Boenninghausenia albiflora,"[['leaf', 'Anti-bacterial agents'], ['leaf', 'Antifungal agents'], ['leaf', 'Flea infestations'], ['leaf', 'Insecticides'], ['leaf', 'Antiperiodic'], ['root', 'Anti-bacterial agents'], ['root', 'Antifungal agents'], ['root', 'Insecticides'], ['root', 'Parasympatholytics'], ['shoot', 'Insect repellents'], ['shoot', 'Insecticides'], ['stem', 'Insecticides'], ['whole plant', 'Flea infestations'], ['whole plant', 'Hypoglycemic agents'], ['whole plant', 'Insecticides'], ['None', 'Anti-bacterial agents'], ['None', 'Antifungal agents'], ['None', 'Hypoglycemic agents'], ['None', 'Insecticides'], ['None', 'Spasm'], ['root', 'Wounds and injuries'], ['flower', 'Insecticides'], ['aerial part', 'Insecticides']]",Plantae,Rutaceae,Angiosperms,White Himalayan Rue,"Boenninghausenia sessilicarpa, Boenninghausenia albiflora",
1590,Boerhavia diffusa,Boerhavia diffusa,"[['whole plant', 'Hypotension'], ['seed', 'Leukorrhea'], ['whole plant', 'Cardiotonic agents'], ['seed', 'Jaundice'], ['seed', 'Kidney calculi'], ['seed', 'Kidney diseases'], ['seed', 'Low back pain'], ['seed', 'Neoplasms'], ['seed', 'Nephritis'], ['seed', 'General tonic for rejuvenation'], ['seed', 'Scabies'], ['seed', 'Urologic diseases'], ['seed', 'Vomiting'], ['seed', 'Cooling effect on body'], ['shoot', 'Dysuria'], ['shoot', 'Hematinics'], ['shoot', 'Oliguria'], ['shoot', 'Uterine contraction'], ['whole plant', 'Anti-bacterial agents'], ['whole plant', 'Anti-inflammatory agents'], ['whole plant', 'Diuretics'], ['seed', 'Splenomegaly'], ['root', 'Anemia'], ['flower', 'Contraceptive agents'], ['root', 'Gonorrhea'], ['root', 'Heart diseases'], ['root', 'Hematologic diseases'], ['root', 'Hemorrhage'], ['root', 'Hepatomegaly'], ['root', 'Inflammation'], ['root', 'Gallbladder emptying'], ['root', 'Insecticides'], ['root', 'Kidney calculi'], ['root', 'Kidney diseases'], ['root', 'Laxatives'], ['root', 'Leprosy'], ['root', 'Leukorrhea'], ['root', 'Liver diseases'], ['root', 'Jaundice'], ['root', 'Lung diseases'], ['root', 'Flatulence'], ['root', 'Expectorants'], ['root', 'Cardiovascular agents'], ['root', 'Cardiovascular diseases'], ['root', 'Cholera'], ['root', 'Colic'], ['root', 'Contraceptive agents'], ['root', 'Cough'], ['root', 'Eye diseases'], ['root', 'Cystitis'], ['root', 'Dysentery'], ['root', 'Dyspepsia'], ['root', 'Edema'], ['root', 'Emetics'], ['root', 'Endophthalmitis'], ['root', 'Exanthema'], ['root', 'Diuretics'], ['root', 'Blister'], ['root', 'Neoplasms'], ['root', 'Night blindness'], ['seed', 'Abdominal pain'], ['seed', 'Anemia'], ['seed', 'Anthelmintics'], ['seed', 'Arthralgia'], ['seed', 'Asthma'], ['seed', 'Astringents'], ['root', 'Cooling effect on body'], ['seed', 'Contraceptive agents'], ['seed', 'Dyspepsia'], ['seed', 'Endophthalmitis'], ['seed', 'Expectorants'], ['seed', 'Flatulence'], ['seed', 'Gallbladder emptying'], ['seed', 'Gonorrhea'], ['seed', 'Cystitis'], ['root', 'Nephritis'], ['root', 'Cervical dilatation'], ['root', 'Wound healing'], ['root', 'Oliguria'], ['root', 'Oxytocics'], ['root', 'Parasympatholytics'], ['root', 'Pregnancy complications'], ['root', 'Scabies'], ['root', 'Snake bites'], ['root', 'Wounds and injuries'], ['root', 'Splenomegaly'], ['root', 'Stress, physiological'], ['root', 'Unconsciousness'], ['root', 'Urinary tract infections'], ['root', 'Urination disorders'], ['root', 'Urologic diseases'], ['root', 'Vomiting'], ['root', 'Stomach diseases'], ['root', 'Bites and stings'], ['root', 'Astringents'], ['root', 'Asthma'], ['leaf', 'Dyspepsia'], ['leaf', 'Eczema'], ['leaf', 'Edema'], ['leaf', 'Endophthalmitis'], ['leaf', 'Expectorants'], ['leaf', 'Flatulence'], ['leaf', 'Diuretics'], ['leaf', 'Gallbladder emptying'], ['leaf', 'Heart diseases'], ['leaf', 'Hematologic diseases'], ['leaf', 'Hypotension'], ['leaf', 'Infection'], ['leaf', 'Jaundice'], ['leaf', 'Kidney calculi'], ['leaf', 'Gonorrhea'], ['leaf', 'Kidney diseases'], ['leaf', 'Digestive system diseases'], ['leaf', 'Common cold'], ['fruit', 'Diuretics'], ['leaf', 'Abdominal pain'], ['leaf', 'Analgesics'], ['leaf', 'Anemia'], ['leaf', 'Antifungal agents'], ['leaf', 'Antihypertensive agents'], ['leaf', 'Cystitis'], ['leaf', 'Anti-inflammatory agents'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Appetite stimulants'], ['leaf', 'Arthralgia'], ['leaf', 'Arthritis'], ['leaf', 'Asthma'], ['leaf', 'Astringents'], ['leaf', 'Antineoplastic agents'], ['leaf', 'Laxatives'], ['leaf', 'Leukorrhea'], ['leaf', 'Liver diseases'], ['root', 'Abortifacient agents'], ['whole plant', 'Liver diseases'], ['root', 'Anthelmintics'], ['root', 'Anticonvulsants'], ['root', 'Anti-inflammatory agents'], ['root', 'Antinematodal agents'], ['root', 'Abdominal pain'], ['root', 'Antipyretics'], ['root', 'Antiviral agents'], ['root', 'Aphrodisiacs'], ['root', 'Appetite stimulants'], ['root', 'Arthralgia'], ['root', 'Arthritis'], ['root', 'Ascites'], ['root', 'Antirheumatic agents'], ['plant exudate', 'Exanthema'], ['leaf', 'Cooling effect on body'], ['leaf', 'Wounds and injuries'], ['leaf', 'Neoplasms'], ['leaf', 'Nephritis'], ['leaf', 'Oxytocics'], ['leaf', 'Postpartum hemorrhage'], ['leaf', 'Pruritus'], ['leaf', 'Scabies'], ['leaf', 'Snake bites'], ['leaf', 'Splenomegaly'], ['leaf', 'Sprains and strains'], ['leaf', 'Stomach diseases'], ['leaf', 'Tocolytic agents'], ['leaf', 'Urination disorders'], ['leaf', 'Urologic diseases'], ['leaf', 'Vomiting'], ['leaf', 'Wound healing'], ['aerial part', 'Liver diseases'], ['whole plant', 'Radiation-protective agents'], ['seed', 'Hematologic diseases'], ['None', 'Abdominal pain'], ['seed', 'Heart diseases'], ['None', 'Antifibrinolytic agents'], ['None', 'Anti-bacterial agents'], ['None', 'Anthelmintics'], ['None', 'Anemia'], ['None', 'Cough'], ['None', 'Anti-inflammatory agents'], ['None', 'Diuretics'], ['None', 'Dyspepsia'], ['None', 'Nootropic agents'], ['None', 'Myalgia'], ['None', 'Low back pain'], ['None', 'Liver diseases'], ['None', 'Liver cirrhosis'], ['None', 'Dysentery'], ['None', 'Antineoplastic agents'], ['None', 'Antipyretics'], ['None', 'Aphrodisiacs'], ['None', 'Ascites'], ['None', 'Constipation'], ['None', 'Colic'], ['None', 'Cardiovascular diseases'], ['None', 'Cardiotonic agents'], ['None', 'Bronchitis'], ['None', 'Bites and stings'], ['None', 'Astringents'], ['None', 'Asthma'], ['None', 'Asthenia'], ['None', 'Appetite stimulants'], ['None', 'Leukorrhea'], ['None', 'Periodontitis'], ['None', 'Pneumonia'], ['None', 'Polycythemia'], ['None', 'Abdominal neoplasms'], ['None', 'Rectal prolapse'], ['None', 'Scabies'], ['None', 'General tonic for rejuvenation'], ['None', 'Snake bites'], ['None', 'Rectal fistula'], ['None', 'Rabies'], ['None', 'Skin diseases'], ['None', 'Splenomegaly'], ['None', 'Thoracic diseases'], ['None', 'Urination disorders'], ['None', 'Uterine hemorrhage'], ['None', 'Vomiting'], ['None', 'Diaphoretic'], ['None', 'Oliguria'], ['None', 'Laxatives'], ['None', 'Jaundice'], ['None', 'Kidney diseases'], ['None', 'Inflammation'], ['None', 'Hemorrhage'], ['None', 'Hematologic diseases'], ['None', 'Heart diseases'], ['None', 'Gonorrhea'], ['None', 'Epilepsy'], ['None', 'Endophthalmitis'], ['None', 'Emetics'], ['None', 'Edema'], ['None', 'Expectorants']]",Plantae,Nyctaginaceae,Angiosperms,Red Spiderling,"Boerhaavia diffusa, Boerhavia diffusa, Boerhavie diffusa, Boerhaviu diffusa, Boerliavia diffisa","Ayurveda, Homeopathy, Siddha, Unani"
1597,Boesenbergia rotunda,Boesenbergia rotunda,"[['root', 'Dysentery']]",Plantae,Zingiberaceae,Angiosperms,,"Curcuma rotunda, Boesenbergia pandurata, Kaempferia pandurata, Boesenbergia rotunda, Gastrochilus pandurata",Ayurveda
1599,Bolusanthus speciosus,Bolusanthus speciosus,"[['bark', 'Aphrodisiacs']]",Plantae,Leguminosae,Angiosperms,African Wisteria Tree,"Bolusanthus speciosus, Bolusanthus specious",
